record_no,subject,relation,object
7557,observation,shows,damage
7557,report,shall be distributed,end
7557,life,saving,rules
21756,Employee,began,experiencing back pain when bending down to inspect parts
21756,Employee,had,discomfort
21756,life,saving,rules
22269,alguns materiais,do do,palete
22269,he,hit,leg
22269,which,caused,injury
22269,life,saving,rules
1450,technician,had changed,propane tank
1450,technician,attempted,to verify the propane tank fitting
1450,technician,turned,fitting
1450,life,saving,rules
26866,óleo proveniente da conten??o da gearbox,do guindaste,250T.
16688,life,saving,rules
15633,life,saving,rules
77,which,caused,damage damage
77,area,had,footprint
77,life,saving,rules
10687,worker,left,forearm
10687,worker,went,aid
10687,worker,received,aid
10687,life,saving,rules
24489,lead,discussed,way
24489,team,began,rig
24489,team,lifted,rig zipper valve
24489,team,secured,zipper valve
24489,valve,hitch,slack
24489,valve,become,slack
24489,valve,creating,slack
24489,lead tech,stopped,work
24489,life,saving,rules
7658,It,serves,to inform you that our Toyota LD-79 - 28 - FD car was just mugged in front of the office
7658,robbers,broke,glass
7658,robbers,opened,door
7658,They,took,board
7658,life,saving,rules
8019,operator,finds,leakage
25224,XLX126,had been tasked,to assist in this operation
25224,Valve manifold,was isolated,to allow for the gantry to be recovered inboard without the function of the trolley mechanism
25224,0.5ltres,entered,water
25224,life,saving,rules
23643,system,was confirmed,to be at ( 0 ) psi(g
23643,FST,removed,cap
23643,life,saving,rules
12682,combustion engine,started,"generating a smoking in the compartment , below first deck"
12682,Fire Teams,to carried,areas
12682,they,do n’t identify,fire
12682,life,saving,rules
19275,he,received,burn
19275,This,resulted,aid
19275,This,did not require,aid
19275,Activity,occurs,Frequent
19275,life,saving,rules
7331,JSA,reviewed,to identify the wrong test cap
7331,inspection,was done,to identify the wrong test cap
7331,JSA,failed,to identify the wrong test cap
7331,test,started,to enter while test is ongoing
7331,personnel,allowed,to enter while test is ongoing
22826,Activity,occurs,less
22826,life,saving,rules
24366,ROV team,were carrying,testing
24366,quantity,was observed,coming from the pitch cylinder activation hose adjacent to the hose chain track system
24366,Crane tech,replaced,hose
24366,Crane tech,carried,inspection
24366,fluid,was lost,design
24366,area,is bunded,design
24366,life,saving,rules
18569,IP,was conducting,maintenance
18569,IP,was conducting,maintenance
18569,he,descended,ladder system
18569,IP,visited,Medic
18569,IP,returned,Medic
18569,request,was made,Medic
18569,HSEA,advised,Captain
18569,fact finding,completed,Witness account form
18569,incident,Did involve,injury
18569,incident,have,potential
18569,Medic,prescribed,IP
18569,IP,has continued,to work since the incident
18569,IP,had continued,to work conducting his normal duties from the initial day of the incident on 28/12/2023 to the day in which he departed the vessel as planned on his crew
18569,he,departed,vessel
18569,he,left,vessel
18569,life,saving,rules
17742,Crew Member,could point,time
17742,Crew Member,noticed,increase
17742,site medic,did,/wash
17742,Crew member,was given,eye drop
17742,Crew member,cleared,to return to work with no restriction
17742,Spoolbase- Beacon Winterfell- Nov 2023-,left,eye irritation
17742,life,saving,rules
13972,Incident Description Vessel,was doing,transfer
13972,UTA,rotated,to stbside
13972,TRA,generated,to continue with Transfer of UTA to TLS tower operations with potential drops from TLS
13972,life,saving,rules
8651,piso,do camarote,tapete facilitando queda
8651,Atendimento medico foi realizado colaborador liberado para sua,atividades,normais
8651,N?o houve o colaborador,continua,desempenhando suas fun??es
8651,which,had,carpet
8651,fall,caused,cut
8651,employee,was,to perform his duties
8651,employee,continues,to perform his duties
8651,apos sair,do,banho
8651,life,saving,rules
28959,it,was found,"to have a gash on it , thus damaging the insulation"
28959,life,saving,rules
798,life,saving,rules
1280,Vessel,heading,°
1280,rigging team,had installed,haul rigging
1280,head clamp,was raised,position
1280,rigging hit did,angles,degrees
1280,that,was securing,line
1280,rigging hit did,do,turno diurno
1280,head,clamp,da JFL
1280,reten??o instaladas,rigging,estava aproximadamente do devido movimento da embarcacao
1280,estava prendendo,linha,pequeno dano
1280,actions,Stopped,job
1280,actions,got,control
1280,o controle,do equipamento,utilizando loader arm da torre
1280,O rigging,convés,inspe??o inicial
1280,Foi solicitado que o navio mudasse o aproamento O rigging foi trazido de volta ao convés A inspe??o inicial,do equipamento,n?o danos
1280,caiu resultado,do,incidente
1280,pelo System Supervisor,leves,foram registrados
1280,case categorization,is Uncontrolled,moving objects/ parts ( struck by other than machine parts and dropped objects
1280,life,saving,rules
21325,forklift operator,was going,door rail working without realizing it
21325,fork,impacted,door rail
21325,operator,approached,entrance
21325,he,continued,working without realizing it
21325,Activity,occurs,less
21325,life,saving,rules
26454,Truck,did not strike,vehicle obstacles
26454,life,saving,rules
26316,they,lifted,it
26316,Activity,occurs,Remote
26316,life,saving are,rules Bypassing Obtain authorization
20588,life,saving,rules
30149,employee,suffered,fall
30149,employee,was referred,day leave
30149,employee,received,day leave
30149,Durante o,embarque,navio
30149,life,saving,rules
15506,Pipe Coupons,rolled,trailer
15506,truck,was making,turn
15506,JH Walker,used,Wrecker service
15506,Pipe Coupons,rolled,trailer
15506,truck,was making,turn
15506,life,saving,rules
19567,operator,had,"to dismantle some nuts , 75 mm 20pcs"
19567,they,found,nut puller pipe
19567,they,had,to have some transitions from pipe to nut driver
19567,transitions pipes,do not have,device
19567,operator,loosened,nut
19567,operator,found,metal pins
19567,life,saving,rules
27351,Shepherd Offshore,contacted,site
29172,lady,had,stop sign
29172,she,had entered,to stop by slamming my brakes
29172,she,tried,to stop by slamming my brakes
29172,life,saving,rules
1265,damage,was caused,ROV
1265,stop,notified,= = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = =
1265,ROV,recovered,to deck Successful electrical test carried out on the EFL Stab Re deployed and connected with no issues
1265,painel,do,X que
1265,Quando,verificamos,receptáculo e sem danos provavelmente causado pelo ROV durante
1265,que ROV tenha,colidido,jumper sem perceber quebra
1265,receptáculo estacionamento,tenha,jumper sem perceber quebra
1265,receptáculo estacionamento,do,jumper sem perceber quebra
1265,Cliente,realizado,Reimplantado e conectado sem problemas
1265,life,saving,rules
24042,safety system,shut,1G. manlift
24042,safety system,activated,1G. manlift
24042,life,saving,rules
13404,operator,was attempting,to place pallet box on the ground  
13404,fork,struck,wall
13404,Activity,occurs,less
13404,life,saving,rules
19309,IP,was transiting,deck A
19309,he,was descending,stairs
19309,IP,lost,footing
19309,IP,slipped,impacting his back on the step
19309,IP,attended,vessel medic
19309,Reevaluation HSE e cliente,informado,médico da embarca??o
19309,dia de fevereiro incident,Did involve,injury
19309,dia de fevereiro incident,have,potential
19309,N?o incident,Did involve,damage
19309,N?o,Did planned,controls
19309,IP,was holding,handrail
19309,Initial IPs boots,found,to be in good condition with some minor grease / dirt as expected on the soles
19309,Stairs,were Inspected,safety officer
19309,life,saving,rules
27732,Durante,movimenta??o do,BE Hoisting Beam BE
27732,que foi,contido,convés
27732,equipe,do pipelay,acionada para
27732,deck crew,identified,drip
27732,life,saving,rules
11963,group,were developing,tasks
11963,compa'er,performs,manipulation
11963,technician,puts,fingers
11963,Activity,occurs,Remote
11963,life,saving,rules
24420,COMPANY VEHICLE LD5571,STRUCK,DEER
24420,COMPANY VEHICLE LD5571,STRUCK,DEER
24420,life,saving,rules
14974,x - ray result,was assessed,doctor
14974,life,saving,rules
27160,team,halted,task
27160,team,heard,noise
27160,team,inspecting,surrounding
27160,they,found,plate stopper
27160,Activity,occurs,Remote
27160,life,saving,rules
1643,I,moved,myself
1643,others,to access,monitors
1643,life,saving,rules
29810,vessel,was completing,site cleanup
29810,UCON basket,reached,splash zone
29810,crane operator,began,bringing it onboard
29810,UCON basket,made,contact
29810,life,saving,rules
20978,universal,do,eixo cardam
20978,que fica bem,próximo,passa tentar retirar o caso
20978,estava em contato,na estrutura,da caixa
20978,n?o teria como,precisar,voltagem
20978,n?o,teve,nenhuma?consequência grave
20978,employee,was performing,activity
20978,employee,leaned,arm
20978,that,was giving,energy leak
20978,employee,did not require,outpatient care
20978,employee,did not have,consequences
20978,life,saving,rules
8029,life,saving,rules
20729,IP,was installing,tool
20729,employee,bumped,setup table
20729,tool,fell,setup table
20729,tool,rubbed,area
20729,tool,caused,laceration
20729,life,saving,rules
8928,operator,stopped,process
8928,operator,proceeded,to get the on shift supervisor and
8928,umbilical,has encountered,spots
8928,Section,shows,photos
8928,life,saving,rules
26293,basculante dans,une,benne
26293,life,saving,rules
29860,operators,were trying,to install Production Bore Seal Stab 125 kg ( P215788 ) on to Horizontal X - Mas tree adapter ( P6000095570 ) from beneath using hydraulic lifting trolley
29860,technician,to use,lift
29860,operator,released,ratchet strap
29860,strap,will cause,seal stab trip
29860,life,saving,rules
16434,he,picked,tool
16434,head,hit,monitor cover
16434,He,got,treatment
16434,Head,Hit,Monitor Cover
16434,life,saving,rules
30390,employee,lost,control
30390,employee,hit,control device
30390,employee,lost,control
30390,employee,hit,control device
30390,title,is Commuting,accident_Vehicle collision acesso
30390,life,saving,rules
11805,we,counterlone,fixation
11805,life,saving,rules
19155,collaborator,pressed,finger
19155,he,received,aid
19155,which,identified,fraction
19155,life,saving,rules
17258,vessel,commenced,transfer
17258,TLS un -,squeezed,tensioner
17258,TLS un -,retracted,frame
17258,2100hrs TLS,commenced,transfer
17258,It,seem,"to occur only during movement of the cylinders ,"
17258,oil,has been absorbed,spill mats granules sausages
17258,oil,have been placed,to contain any potential future leaks
17258,life,saving,rules
11658,IP,worn,safety glasses
11658,life,saving,rules
15091,PSV,presented,loss
15091,Bow Thruster,presented,failure
15091,it,was indicated,to replace the CCS6 control card
15091,life,saving,rules
1327,LD3657 COMPANY TRUCK,SUSTAINES,DAMAGES
1327,EMPLOYEE,WENT,TO USE IT
1327,life,saving,rules
15585,HD52 sensors,detected,oil loss
15585,ROV,recovered,to deck
15585,.Once ROV,was recovered,oil loss
15585,inspection it,was identified,oil loss
15585,check valves,had passed,oil
15585,ROV,recovered,checks operation
15585,valves,installed,checks
15585,ROV,resumed,operation
15585,life,saving,rules
17567,contractors,were performing,operation
17567,life,saving,rules
14338,employee,was running,NMC molds
14338,that,weighed,lbs
14338,Employee,had,to slide the assembled mold from the work table in to position inside the press
14338,employee,felt,pain
14338,life,saving,rules
26934,B14 MTI technician,was utilizing,utility knife
26934,technician,received,aid
26934,technician,received,stitches
26934,case categorization,is Uncontrolled,moving objects/ parts ( struck by other than machine parts and dropped objects
26934,life,saving,rules
8682,which,contacted,eye protection
8682,IP,rushed,to complete task instead of opting to delegate and supervise work
8682,Activity,occurs,Remote
8682,life,saving,rules
18785,grinder,had,to enter the inside of the clamp to cut the bolt on the horizontal plane
18785,hose,had,protection
18785,grinder,reached,position
18785,life,saving,rules
159,Activity,occurs,Remote
11768,crane operator,was attempting,"to pick a 715 x 315 Cross , w/ ( 2 )"
11768,HY,left,wing valves wing valves swab valve
11768,party rigger,attached,devices crane operator
11768,crane operator,exited,cab
11768,rigger,did,rigger
11768,TFMC FST,told,rigger
11768,we,preform,lift
11768,rigger,told,TFMC FST
11768,crane operator,said,to do it
11768,crane operator,began,lifting with the new rigging unsuccessfully as the studs were still binding in the flange
11768,crane operator,opted,swing the load in the opposite direction of valve bonnets to compensate for the weight
11768,studs,left,flange
11768,FST,had repositioned,man basket
11768,load,began,to swing
11768,load,struck,resulting in bending of the top rail
11768,load,was striking,man basket
11768,party rigger TFMC FST,put,arms
11768,load,shifted,man basket
11768,load,struck,man basket
11768,life,saving,rules
24908,Activity,occurs,less
24908,life,saving,rules
10333,vessel,had erected,which
10333,OSB fork,lift,banksman
10333,forks,lowered,lift
10333,forks,fork,lift
10333,person team,had completed,container check
10333,Two,proceeded,abrasion
10333,one,walked,abrasion
10333,Two,incurred,abrasion
10333,life,saving,rules
8944,I,recognize,car evacuator
8944,I,keep,driving towards while trying to turn to right
8944,I,did not take,turn
8944,I,hit,trailer end
8944,life,saving,rules
16416,IP,struck,head
16416,life,saving,rules
26323,deck crew,lifted,side struts
26323,which,involved,stick
26323,Banksman,requested,Crane Operator
26323,Banksman,followed,load
26323,Crane Operator,slewed,left
26323,crane boom,glanced,camera
26323,life,saving,rules
11560,Peso,aproximadamente,g
11560,Altura collision,took,place
11560,Altura collision,damaged,guardrail
11560,life,saving,rules
19232,Ring finger,pinched,Renewal docking
19232,yard,has delegated,task
19232,All,had been removed,problem
19232,last,presented,problem
19232,nut,started,to round
19232,thread,was stripping,problem
19232,one,was holding,drill spanner
19232,one,operating,drill
19232,IP,was holding,spanner
19232,work party,tried,to remove the bolt
19232,nut,slipped,pinching the IPs hand on the pipe below the flange
19232,it,turning,pinching the IPs hand on the pipe below the flange
19232,he,was met,project engineer
19232,they,took,individual
19232,medic,assessed,wound
19232,compress,was given,wound
19232,safety officer,was informed,vessel him
19232,safety officer,attended,vessel
19232,arrangements,were made,him
19232,IP,to attend,clinic
19232,Vessel medic,consulted,to record the event
19232,Vessel medic,informed,them
19232,yard,has informed,vessel
19232,life,saving,rules
24578,buyer,caught,box
24578,life,saving,rules
1283,employee,was spraying,CD Duty Degreaser
1283,overspray,caused,skin irritation
1283,Activity,occurs,Remote
15652,Maintenance,closed,valves drain
15652,Maintenance team,replaced,Pressure Gauge
15652,Maintenance team,cleaning,area
15652,life,saving,rules
27414,employee,was removing,coating
27414,he,injured,hand
27414,he,can not say,hand
27414,he,touched,mold
27414,employee,noticed,wound
27414,employee,informed,supervision
27414,work,was interrupted,supervision
27414,o revestimento da junta usando uma faca preparada para esta atividade segurando,esquerda,em superfície afiada
27414,life,saving,rules
24924,Após avalia??o,do enfermeiro,de bordo
24924,enfermeiro,estranho,do colaborador
24924,eye,had,coloration
24924,MTI Corpo,estranho,esquerdo
19989,operator,took,falling into the floor and spreading the raw material
19989,operator,fell,falling into the floor and spreading the raw material
19989,life,saving,rules
23537,Hall F one,grinds,some
23537,wrench,was used,to hold the bolt
23537,one,holds,piece
23537,one,drives,nut driver
23537,gloves,were used,to hold sandpaper against the bolt
23537,thumb,grabbed,bolt
23537,which,was wearing,gloves
23537,av litt av,belegget,boltene
23537,Samtidig,som,den andre
23537,fjerne litt av,belegget,boltens gjenger
23537,kj?rt,mest,sannsynlig litt
23537,klemt litt,bolten,som holder pussepapir
23537,i,rotasjonen,muttertekker ble kj?rt
23537,Activity,occurs,Frequent
23537,life,saving,rules
8904,he,placed,hand
8904,he,had,feet
8904,He,landed,walking it off
8904,He,moved,walking it off
8904,He,stretched,walking it off
8904,he,reported,incident
8904,he,is feeling,effect
8904,that,has not impacted,work
8904,life,saving,rules
18144,T excavator,had,hose leak
18144,life,saving,rules
1587,they,were going,to work in
1587,they,heard,spark sound
1587,Technician,turned,cell
1587,cell,looks,to have been shifted and other items such as the fume extractor were also ajar
22401,forklift operator,was unloading,tool box
22401,driver,backed,door
22401,driver,hit,door
22401,door,to bend,damage
22401,life,saving,rules
827,rain,stopped,Housekeeping staff
26379,welders,began,process
26379,which,requires,relocating the pipe stand to allow for the water bath to be placed underneath
26379,welder,removed,pipe stand
26379,welding horse,fell,contact
26379,coupon,made,contact
26379,life,saving,rules
25799,life,saving,rules
29470,Activity,occurs,Remote
29470,life,saving,rules
16002,life,saving,rules
12923,Personnel,was moving,tools equipment
12923,which,required,personnel
12923,person,decided,to move hand tools and tidy / organize his work area
12923,He,had,ratchet tool
12923,he,was tidying,area
12923,he,pick,ratchet tool
12923,socket,deflected,scratcher rung
12923,stop,was called,ROV Superintendent
12923,Thought process,suggested,safety latch TOFS
12923,it,could have depressed,release button
12923,life,saving,rules
18039,event,took,place
18039,queda do rufo,do,telhado
18039,life,saving,rules
15935,One,was cutting,piece
15935,scaffolder,had rested,wood
15935,part,slid,m
15935,they,should have,requirement
15935,Maua Yard,has held,time
15935,incident,Did involve,injury
15935,incident,have,potential
15935,consequences,showed,outcome
15935,incident,Did have,impact potential
15935,incident,Did involve,damage
15935,life,saving,rules
22691,substance,generated,dust
22691,third,had,eye irritation
22691,third,saw,increase
22691,IP,was sent,eyes
22691,IP,wash,eyes
22691,month contact lenses,showed,wear
22691,IP,was instructed,to contact emergency room ( ER ) and get advice
22691,Activity,occurs,less
22691,life,saving,rules
30048,I,was driving,company
30048,I,passed,speed bump
30048,I,was struck,vehicle
30048,which,forced,car
30048,I,tried,to stabilize the situation and avoid further contact
30048,it,to hit,vehicle
30048,Najm,arrived,investigation
30048,Najm,conducted,investigation
30048,I,held,liability
30048,life,saving,rules
11557,handle,rebounded,IP
11557,handle,hit,IP
11557,IP,got,teeth
11557,IP,damaged,teeth
11557,Activity,occurs,Frequent
11557,case categorization,is Uncontrolled,moving objects/ parts ( struck by other than machine parts and dropped objects
11557,life,saving,rules
17242,TFMC personnel,were prepping,WBRT assembly
17242,rig,was making,pups
17242,TSP,noticed,indicator lines
17242,TSP,notified,driller
17242,rig,had attempted,to lift the assembly to come off the slips
17242,they,lifted,assembly
17242,they,attempted,to stab back into the body with the upper mandrel in an effort to thread the pieces back together
17242,mandrel,made,contact
17242,life,saving,rules
27515,Infelizmente,canto,com sua ponta
27515,Colaborador dirigiu se,imediatamente,à enfermaria e plant?o
27515,Os,incluindo,e o enfaixamento
27515,Os,do,ferimento
27515,IP,made,transverse cut
27515,IP,inserted,tip
27515,TheIP,proceeded,incident
27515,TheIP,reported,incident
27515,IP,received,stitches
27515,Activity,occurs,less
205,spouse,was driving,pole
205,spouse,struck,pole
205,life,saving,rules
19974,operator,was using,pendant
19974,life,saving,rules
8465,Activity,occurs,less
8465,LTC Skandi,Niter?3i,Opera?§?￡o TPB
12036,operator,was stretching,wire
12036,which,disbalanced,operator
12036,he,contacted,pain
12036,he,felt,pain
26818,life,saving,rules
7441,collaborator,was hit,mango
7441,n,'s found,leso
17520,Skandi Africa,is conducting,maintenance period
17520,crew access,to conduct,fabric maintenance
17520,MEWP,had started,to operate
17520,Description ABs,requested,to come back down to deck
17520,MEWP operator,lowered,boom arm
17520,knuckle,made,contact
17520,handrail,to bend,downwards
17520,MEWP operator,raised,boom arm
17520,deck crew,reported,contact
17520,life,saving,rules
15467,bolt,had been working,way
15467,life,saving,rules
20704,bees,began,to swarm and sting the contractor
20704,S01 Facilities Contractor,sustained,bee stings
20704,life,saving,rules
22661,valve,weighs,pounds
22661,employee,grabbed,valve
22661,employee,was wearing,footwear
22661,employee,told,level leadership
22661,They,x,foot
22661,They,rayed,foot
22661,They,recommended,ice
22661,life,saving,rules
20481,load backrest,struck,beam
20481,Warehouse,racking,beam strike
20481,life,saving,rules
1429,technician,was moving,pallet
1429,pallet,was placed,spot
1429,technician,started,to back out from under the pallet
1429,technician,stopped,movement
1429,operator,did strike,anything
1429,XT Storage Technician,was moving,pallet
1429,XT Storage Technician,fell,pallet foot
1429,XT Storage Technician,struck,foot
1429,life,saving,rules
12684,Queda,do,Test Cap durante desmontagem
12684,life,saving,rules
1343,top,hit,bottom
1343,Activity,occurs,Remote
1343,life,saving,rules
19485,tugger wire,failed,being used as a block holdback
19485,What,appears,to be the failure of the wire
19485,operator,moved,block
19485,tugger wire,held,block
19485,case categorization,is Uncontrolled,moving objects/ parts ( struck by other than machine parts and dropped objects
19485,life,saving,rules
10838,employees,expected,to authorize it in the shelter area to approach the container ( which was already positioned in the conveys ) and to release the extended sling of the guindaste
10838,Desprendimento da Lingada,do,Guindaste
10838,life,saving,rules
7945,Employee,was assisting,technician
7945,he,was cranking,ratchet
7945,ratchet,struck,finger
17271,TFMC personnel,were prepping,WBRT assembly
17271,rig,was making,pups
17271,TSP,noticed,indicator lines
17271,TSP,notified,driller
17271,rig,had attempted,to lift the assembly to come off the slips
17271,they,lifted,assembly
17271,they,attempted,to stab back into the body with the upper mandrel in an effort to thread the pieces back together
17271,mandrel,made,contact
17271,life,saving,rules
18244,which,contained,Pulling Head
18244,Supplier,have re,NDT dimensional
18244,Supplier,performed,NDT dimensional
18244,side,has been dressed,coating -
18244,life,saving,rules
1726,oil level,kept,rising
1726,pressure,increased,rising
1726,I,put,fire
1726,We,decreased,choke size
1726,We,ending,shutting in
1726,life,saving,rules
1093,Janitor,was placing,brush
1093,He,reached,head
1093,He,banged,head
1093,contact,caused,cut
1093,which,started,to bleed
1093,life,saving,rules
15831,Recover Wachs,saw,section
15831,Recover Wachs,cut,section
15831,guide bar,dropped,point
15831,guide bar,dropped,working position
15831,Wachs cutter,had completed,cut
15831,Wachs cutter,was recovered,cut
15831,ROV,carried,search
15831,PON,was submitted,Platform
15831,distance,ised,potential
15831,we,took,value
15831,buoyancy effect,needs,to be considered
15831,Seawater,has,density
15831,life,saving,rules
16186,Task,removing,packers
16186,tool,was operated,hand
16186,tool,left,hand
16186,hand,was intended,to be supporting tool
16186,IP,commenced,operating the tool
16186,IP,let,"go of the deadman switch , where the tool stopped"
16186,IP,observed,man Medic
16186,they,informed,Deck Supervisor
16186,who,stopped,task
16186,IP,lowered,man
16186,IP,visited,Medic
16186,laceration,applied,cream wound
16186,TOFS incident,Did involve,injury
16186,TOFS incident,have,potential
16186,incident,Did have,impact potential
16186,incident,Did involve,damage
15218,HSE,was informed,technician
15218,life,saving,rules
157,DEEP ORIENT,can lid,Actions
157,Person,decided,to utilise a used aluminium can for the job
157,IP,tried,to remove the lid by pulling it away from the can with his hands
157,lid,caused,laceration
157,Medic,has cleaned,wound
157,deck crew,have been informed,not to take any containers out of the bin or to use empty cans for containers
157,TOfS,will be conducted,to discuss the incident with the team and to prevent recurrence
157,crew,had been utilising,food containers
157,IP,was wearing,leather gloves
157,which,do not provide,protection
157,life,saving,rules
28561,one,were preparing,food
28561,he,was using,cut slicing machine
28561,cook,reported,this
28561,Medic,dressed,cut
28561,às,dos,cozinheiros comida para refei??o
28561,que,tratou,o corte curativo estéril
28561,life,saving,rules
15806,Activity,occurs,Frequent
15806,life,saving,rules
21837,TFMC Deep Orient,was conducting,works
21837,life,saving,rules
19456,account Uniflex steward,was placing,orange
19456,he,caught,finger
19456,06:30 board saloner,was placing,orange
19456,he,took,finger
19456,Steward,attended,vessel medic
19456,Medic,cleaned,IPs finger
19456,Medic,applied,band aid
19456,OCM Captain Client HSEA,made,container
19456,Pequeno corte,esquerda,em
19456,life,saving,rules
17983,collaborators,were moving,metal tape
17983,collaborators,continued,route
17983,same,supported,tape
17983,same,pushed,tape pin
17983,same,had,pin
17983,life,saving,rules
21775,Incident,occurred,issue
21775,IP,raised,issue
21775,Supervision,was notified,issue
21775,IP,was being seen,aider
21775,he,had felt,twinge
21775,IP,had been handling,rollers
21775,IP,was not transporting,one
21775,IP,had gained,access
21775,IP,felt,pain
21775,IP,felt,pain
21775,IP,raised,it
21775,which,required,crouching
21775,IP,continued,work
21775,conditions,could have had,effect
21775,which,would have changed,classification
21775,life,saving,rules
24575,Forklift driver,was removing,alu.box
24575,box,hit,spinkler
24575,we,triggered,alarm
24575,forklift driver,was supposed,to lift an aluminum box from location B16R30A when he accidentally hit the sprinkler
24575,he,hit,sprinkler
24575,he,raised,aluminum box
24575,it,hit,support beam
24575,I,was standing,incident
24575,I,saw,incident
24575,He,started,to reverse
24575,I,shouted,STOP
24575,he,dragged,sprinkler
24575,None,knew,where to shut off the sprinkler system
24575,They,received,alarm
24575,portvakt,did n’t know,where to shut down the sprinkler system in the building
24575,He,informed,me
24575,I,did n't have,nr .
24575,We,tried,to shut off the valve in B15 together with portvakt
24575,nothing,stopped,to shut off the valve in B15 together with portvakt
24575,we,had,water pressure
24575,portvakt,was told,system
24575,we,needed,to go to the pump house to stop it
24575,we,could n’t figure,system
24575,He,had,conversations
24575,system,kept,restarting
24575,We,went,it
24575,We,stopped,it
24575,TFMC operator,remained,system
24575,TFMC operator,turn,system
24575,you,need,that to hold the system button for 8 seconds to turn it off
24575,That,stopped,it
24575,I,called,him
24575,I,updated,him
24575,We,had,pressure
24575,He,informed,me
24575,I,should remember,to take some pictures
24575,We,managed,to turn off the system around 18:15
24575,Portvakt,spoke,information
24575,Portvakt,got,information
24575,sprinkler system,needs,to be drained of water
24575,we,could pump,water
24575,We,collected,water
24575,We,transported,it
24575,system,is turned,working system
24575,we,wo n’t have,working system
24575,Director Onshore Services,called,to check on the situation
24575,I,informed,him
24575,we,waited,him
24575,I,sent,message
24575,we,had taken,hoses
24575,we,locked,building
24575,They,will make,inspections
24575,people,tried,things
24575,I,said,STOP proceed
24575,we,got,information
24575,life,saving,rules
1037,technician,was setting,mandrel
1037,Technician,attempted,to center the mandrel by trying to slightly drag the mandrel with the crane
1037,mandrel,did not drag,degree turn
1037,mandrel,performed,degree turn
1037,mandrel,to drop,pallet
12947,operator,activated,trail
12947,operator,is sounded,shock
12947,operator,feels,gene
12947,it,is supported,colleague
12947,operator,regains,activity
12947,Remedies it,is supported,colleague
12947,life,saving,rules
9617,finger,impacted,piece
9617,worker,perceived,movement
9617,hand,struck,workpiece
9617,worker,was wearing,PPE
9617,worker,notified,supervisor
9617,worker,visited,doctor
9617,who,organised,operation
