id,label,type
node:dee9f012-c388-4467-aed2-26140d2ddd1f,2017-08-14,DATE
node:606313f0-6f79-4c00-90fc-d91081a70002,INCIDENT 688177 - ENVIRONMENTAL INCIDENT AT PERDIDO PHASE 2 UFR – DEEP BLUE,INCIDENT_TYPE
node:70198bf2-6466-4d3a-be82-56622acd0abf,078268C001- SHELL PERDIDO PHASE 2 UFR – DEEP BLUE,ORGANIZATION
node:0868c761-3f27-4ced-9650-0174c915b81e,5 LTRS,EQUIPMENT
node:0db2083c-b15a-4700-9808-c85b575e1fe8,VESSEL MOONPOOL,LOCATION
node:d0c1f0d1-8826-4cb9-bc0f-79f9da467ae5,2020-08-14,DATE
node:feb2c6d8-40ca-45c7-942d-bfea0409de4b,INCIDENT 688173 - ENVIRONMENTAL INCIDENT AT PERDIDO PHASE 2 UFR – DEEP BLUE,
node:4fdbe77f-53f0-4f69-b593-bc0eccbcb380,INCIDENT 6888173 - ENVIRONMENTAL INCIDENT AT PERDIDO PHASE 2 UFR – DEEP BLUE,
node:c47a961a-676b-4ec0-886c-89ff449b2fa8,ENVIRONMENTAL INCIDENT - HPU1 SYSTEM OIL LEAK,INCIDENT_TYPE
node:83c59ae6-c5f9-4bf2-9c9d-6d4230105258,HPU1 SYSTEM,EQUIPMENT
node:72a84c03-ac16-4932-8626-69da9764222c,MOON POOL,LOCATION
node:b6a21832-8b2c-46a8-a119-65fdd7cfa553,"DEEP BLUE, ABERDEEN, UK, EUROPE",LOCATION
node:c8e6cef8-5440-4172-9eff-44214c7059ef,INCIDENT 697677 - FAC/FF - A11 - 13/11/2020 - BACK PAIN WHILE GRASPING CABLE ON MOORING LINE,INCIDENT_TYPE
node:f92f6a95-9e03-489f-947b-8be56e94b4d4,FLEXI FRANCE,ORGANIZATION
node:86c56921-eeef-47ce-bd03-61fbbcd39123,FLEXIBLES,LOCATION
node:9f95f2cb-e85b-4294-b26b-5d1780c6293f,2020-11-13,DATE
node:dd20efb0-b61d-489f-b304-9b4f9f1d28f2,BACK PAIN,INJURY_TYPE
node:61474452-fed2-4396-a487-199de4e938c7,CABLE,EQUIPMENT
node:c3144921-9664-453b-bf42-9a1c16e06d10,MOORING LINE,EQUIPMENT
node:2fcda591-49eb-4cad-9b6c-c4596feb98aa,NEAR MISS 531797 - VIOLATION OF LOTO (REMOVAL OF 3 SETS PADLOCKS AND CHAINS FROM PIG LAUNCHER VALVES),INCIDENT_TYPE
node:fe1130be-8631-4275-81df-fe3c2bca63f2,ORF,LOCATION
node:66cb91c2-d524-48ec-8b11-1626d5414068,2017-03-20,DATE
node:837bd5bd-31eb-484d-8b6f-0acbc749adfb,BHI,ORGANIZATION
node:d3e5599c-80e2-4fe5-ab53-4122dd24c02b,TECHNIP,ORGANIZATION
node:c53079f3-7e75-4947-b80c-4e7d0831684d,"021900 RM006, RB008 & RB009",EQUIPMENT
node:80c2ac24-af18-4316-8ab8-b7b5c86151f1,LOTO KIT ONSITE,EQUIPMENT
node:7512b4ec-fcc8-45af-863e-6657fda3a567,TECHNIP SITE REP.,ORGANIZATION
node:feaa327e-9ce7-4c70-9cc4-02d5a72ecda1,AOCM OFFSHORE,ORGANIZATION
node:0c1f8ea2-9a58-4a9c-b504-96728ec0f357,DSV,EQUIPMENT
node:5746dcd3-ca0e-4507-af59-f2a549b1bec0,GE SSIV,EQUIPMENT
node:094947a3-3a90-4c36-9b09-fd89f4ea2e3d,BELL DIVE LOG NO 095,EQUIPMENT
node:b9b2e3c2-cf6f-4736-b5a6-4dffedf649c7,ROV DIVE LOG NO.DIVE44,EQUIPMENT
node:c109ac07-aa72-4a3a-9046-8d7520d9d7cd,BH SUPVR.,ORGANIZATION
node:dd1d4637-b6d0-4d4e-82ad-267589982342,FURTHER INVESTIGATIONS ONGOING BY BH AND TECHNIP CORPORATE HSE DEPT.,
node:c7e79992-03dd-43df-95e7-2f420bcf9c94,24” PLR INJECTION VALVES AT ORF,EQUIPMENT
node:defc8183-8376-4181-9f48-8979b4193aab,SSIV PLR SCHEMATIC,EQUIPMENT
node:5e42fd99-57de-470b-bc63-801771497dcb,"HAV 1, HAV 2, PHV 1 AND PHV 2",EQUIPMENT
node:5397b7cb-1ee1-4bce-9c9b-1d8ede500df0,NEAR MISS - VIOLATION OF LOTO (REMOVAL OF 3 SETS PADLOCKS AND CHAINS FROM PIG LAUNCHER VALVES),INCIDENT_TYPE
node:7527d1db-525c-4e93-bc13-214372691239,BELL,EQUIPMENT
node:d2671912-5f5b-44c7-b1ed-3a28661dab5d,2116HR,DATE
node:efc9d1f8-493c-442e-ad00-b824dd0e3a95,2127HR,DATE
node:7127c711-31fd-4b36-82e5-7a11980d3936,2134HR,DATE
node:dcc5bbb9-3a15-4f18-aea1-1c7ca4964763,BALIKPAPAN SERVICE BASE,LOCATION
node:89541a1d-7551-4ae6-abff-e0892b57697c,ENI MUARA BAKAU B.V,CLIENT
node:a1da6c55-36d3-4f25-823b-ee8b040388a9,PRE-COMMISSIONING / COMMISSIONING,WORK_PROCESS
node:3c413136-368a-4920-aa49-46340571198f,3/28/2017,DATE
node:82797726-62fe-4b09-be9b-b170fbd4ec41,REGION ASIA PACIFIC - TPINDO - INDONESIA - JAKARTA,OPERATING_CENTER
node:be5747da-8689-4765-9fd4-3aaaf19625ac,063753C001 - JANGKRIK PROJECT,PROJECT
node:3b455987-dd2c-4f3a-89ad-0b24052caaf7,"MECHANICAL - STORED ENERGY (PRESSURE, TENSION)",CASE_CATEGORIZATION
node:b17b43c3-5f21-49f5-9e15-677626a01d7a,LOSS_POTENTIAL: 4.0,LOSS_POTENTIAL
node:9b6c9a61-b135-4232-96e6-e6873c70932f,WORK RELATED CASE,WORK_RELATIONSHIP
node:413e9543-e11d-42f7-ba6b-a4750c71a55f,TFMC OWNED OPERATION,TFMC_OWNERSHIP
node:f1943330-398b-4665-87a5-98f36a3f1686,VIOLATION OF LOTO (REMOVAL OF 3 SETS PADLOCKS AND CHAINS FROM PIG LAUNCHER VALVES),INCIDENT_TYPE
node:70a5bb54-0e5c-460e-9c59-d6ff5b48116a,30/3/2017,DATE
node:6934ff14-dbec-44cc-8fb7-57bd65ead0e3,ACCIDENT 559648 - NEAR MISS LOSS OF PRIMARY CONTAINMENT (LOPC) - DEEP BLUE - LLOG CROWN AND ANCHOR,INCIDENT_TYPE
node:ad72b0b2-0955-4b95-9852-b1a2029a2263,DEEP BLUE,LOCATION
node:f514582b-096e-4860-8357-3fa62c887010,13 NOV 17,DATE
node:c584fff1-719d-40f9-bc76-ebf4b2ac2ce8,"LLOG EXPLORATION OFFSHORE, L.L.C.",CLIENT
node:1a38d94b-99b1-4fb2-908d-c97c53970151,ROV OPERATIONS,WORK_PROCESS
node:e48cfd8c-66c4-4cb6-899e-5f19f6869141,OTS LARS HPU,EQUIPMENT
node:283c81b1-26b4-4103-a315-c48e75e6a6be,350 LITERS OF MOBIL DTE 10 EXCEL 46,EQUIPMENT
node:21e1ccc0-00be-446c-a825-107337886523,SAVE-ALL AREA,LOCATION
node:7c92e26b-e1e4-443e-a594-ecd1d9e99bbc,SOPEP,EQUIPMENT
node:e4f6be11-a21f-4a2d-9523-29067bb8fdc6,NAM - TPUSA - USA - HOUSTON,OPERATING_CENTER
node:fc7b6105-d585-4098-89e6-97fd4dc584f5,NEAR MISS - LOSS OF PRIMARY CONTAINMENT (LOPC) - DEEP BLUE - LLOG CROWN AND ANCHOR - 13 NOV 17,INCIDENT_TYPE
node:affd6b2a-881a-4dc9-9eb0-e90ba9663bcd,"LLG EXPLORATION OFFSHORE, L.L.C.",ORGANIZATION
node:9eaf8fb5-ab7d-4c14-84c3-c5b4ef113849,11/13/2017,DATE
node:3e96b089-ba62-44e5-b3fa-cbaec0e5cdc9,ACCIDENT 624444 - BUOYANCY MODULE DAMAGE BY FORKLIFT,INCIDENT_TYPE
node:6d0aa421-fc99-48a1-a8cc-034b9102980f,FORKLIFT,EQUIPMENT
node:51743ede-6c7c-4bda-8a26-a01f9b2ab348,BUOYANCY MODULE,EQUIPMENT
node:2cddb6db-eb91-4164-8474-02a37589b1bb,SOUTH SIDE PARKING LOT (OUTSIDE HALL 2),LOCATION
node:d4c6a8d2-7fb7-4404-a188-77a503a05354,HALL B,LOCATION
node:13664f85-92d6-4698-86fd-0953b611ea52,OFFICE BUILDING,LOCATION
node:38f00984-883b-465b-8d27-d76738dbe902,CONTAINER,EQUIPMENT
node:67aaae75-fa47-4544-99d7-4d4beab498ed,2021-03-18,DATE
node:4ab9b8f3-ee42-4f5c-a902-413f938942c4,ACCIDENT 624444 - DAMAGE TO BUILDING BY BUOYANCY MODULE TRANSPORTED ON FORKLIFT,INCIDENT_TYPE
node:d429f320-cff5-4892-ad20-243e1c852b2d,2019-02-06,DATE
node:bbe65474-7883-4b18-b65a-da672df79088,HAUGESSUND FACILITY,LOCATION
node:28934f27-be5b-4db0-bc0b-6da4590c0a98,EQUINOR ENERGY AS (4600020107),ORGANIZATION
node:e3cd855f-dac8-4de4-97c1-5de78840f445,SUBSEA EUROPE - TPNORGE - NORWAY - HAUGESUND,OPERATING_CENTER
node:cbe8782f-96ef-46ef-9cf9-6bea92e64d78,WORKSHOP ACTIVITIES,WORK_PROCESS
node:35b43934-4dff-46d2-958d-0d2eff754b1d,2/6/2019,DATE
node:a05573c8-f079-4b9f-ad5d-540a7d6b337d,TECHNIP-DEEPOCEAN PRS JV,PROJECT
node:bd8e7fd1-a2ef-46ef-9ceb-c5f150b703c2,WORK ENVIRONMENT - MOTOR VEHICLE WORKSITE ACCIDENT,CASE_CATEGORIZATION
node:d559c2aa-5993-4043-b429-3e45a3d37210,2.0,LOSS_POTENTIAL
node:95300b50-c2e3-4d91-b8b9-74d323758961,MINI INVESTIGATION,INVESTIGATION
node:9077f9b1-d85b-421f-a114-ae0be51f8564,PRS JV QHSES SUPERVISOR,QHSES_SUPERVISOR
node:8d8a1aaf-c162-4ad0-b9d5-6e43cf33448e,ALL PERSONNEL INVOLVED,PERSONNEL
node:69401721-81b7-4b0c-9089-f7fdef8188cc,WAREHOUSE SUPERVISOR,SUPERVISOR
node:c0fc41a7-34a8-4e50-b526-1846332b4d6f,MAFI TROLLEY,EQUIPMENT
node:7e21c99b-ede8-4a36-a348-3b7f9f40e93b,NO PERSONNEL NEARBY,PERSONNEL
node:a8a70a45-ad62-4bad-a8fe-6b41d2946fc1,FLAG MAN NOT USED,SAFETY_MEASURE
node:310f2c04-e104-4b01-91f8-c24502b30923,TOOLBOX TALK NOT USED,SAFETY_MEASURE
node:900c571d-cd6c-438e-9e7e-8974a8ef3cb6,CONTAINER BESIDE ONE OF THE BUILDINGS,LOCATION
node:12d1618e-16e5-4463-97a2-f879723d83c2,NARROW CLEARING BETWEEN THE BUILDINGS,LOCATION
node:6ed430a8-6f95-43c0-974e-807ba465b147,"AXEL IN THE BUOYANCY MODULE CAME IN CONTACT WITH THE ""OFFICE"" BUILDING",DAMAGE
node:a94cb476-226c-4e82-87c6-145723c9a707,PICTURES OF THE DAMAGES,EVIDENCE
node:98bbd2e1-1243-41b1-8686-81b4481030f0,ACCIDENT - BUOYANCY MODULE DAMAGE,INCIDENT_TYPE
node:6321d40f-f013-4c5c-9fdf-724efcdf9d5e,HAUGESUND FACILITY,LOCATION
node:7719a4fa-7d16-44fc-8770-0fce85e4302e,CASE CATEGORIZATION: WORK ENVIRONMENT - MOTOR VEHICLE WORKSITE ACCIDENT,META_FACTS
node:554919ec-8deb-415a-b3ea-6052cd4ace13,LOSS_POTENTIAL: 2.0,META_FACTS
node:4375d41a-7a25-4a9b-a7e5-21bfbef1c52f,WORK RELATIONSHIP: WORK RELATED CASE,META_FACTS
node:b15eec71-e217-4e7e-91e0-f57799e43cfe,TFMC OWNERSHIP: TFMC OWNED OPERATION,META_FACTS
node:03fa2805-dad7-4142-bc72-e7b344aac03a,INCIDENT 741082 - NEAR MISS - KARISH PROJECT - ADMIRALTY YARD (SINGAPORE) - 06-01-2022 - HPT (COMMISSIONING OF AUX COOLING WATER SYSTEM),INCIDENT_TYPE
node:b71a5a60-1125-42c6-ba67-7fc82933587d,KARISH PROJECT,PROJECT
node:eb31a5bf-21c9-45b4-b798-7c1f2a71959c,ADMIRALTY YARD (SINGAPORE),LOCATION
node:549d972e-5722-4115-94c2-6f875cc19723,2022-01-06,DATE
node:3fd2d506-68e4-4c7e-b77b-58bce812ac6c,ENERGEAN ISRAEL LIMITED,ORGANIZATION
node:440c0568-9ee6-4d57-b243-c049acc1d4cf,AUX COOLING WATER SYSTEM,EQUIPMENT
node:a9ed146a-a4d7-477b-bc0e-76b75ac5bb96,"ZOBSOLETE – SINGAPORE LEASED WAREHOUSE, SINGAPORE, SINGAPORE, ASIA PACIFIC",LOCATION
node:ba56ec0d-769a-48ea-a5a4-33d2b28cfd39,EMIA - TPFR - FRANCE - PARIS,OPERATING_CENTER
node:f5041ffd-9ca8-406d-839f-258c7a95955d,076328C001 - KARISH OFFSHORE GAS DEVELOPMENT PROJECT,PROJECT
node:849677a9-63f7-4424-9cf8-4a8e417a0d15,"BASIC ORGANIZATIONAL - STANDARD OPERATING PROCEDURES, PROCEDURES & WORK INSTRUCTIONS",TASK
node:15bff303-f10a-4a53-8730-d02b8fa9416a,1.0,IMPACT_TYPE
node:bb4f657a-d341-4612-8f0c-9a20b488861c,UNLIKELY,LIKELIHOOD_DESC
node:c25665fa-6032-444b-9fcb-5e96ae2ee86c,INCIDENT 741082 - NEAR MISS - KARISH PROJECT - ADMIRALTY YARD (SINGAPORE) - 06-01-2022- HPT (COMMISSIONING OF AUX COOLING WATER SYSTEM),INCIDENT_TYPE
node:4f44fdb5-e78e-469f-a61e-49b819e3ec7a,AUXILIARY COOLING WATER SYSTEM,EQUIPMENT
node:d46cd68b-c87e-44a1-af2f-de03316d3472,MEDICAL TREATMENT INJURY / RESTRICTED WORK CASE / LOSS OF CONSCIOUSNESS,INJURY_TYPE
node:b00f02d3-6518-488f-97a1-9b941bee0b98,KARISH OFFSHORE GAZ DEVELOPMENT PROJECT,PROJECT
node:8d94d084-b8d4-400f-a344-37daa2fe319b,ENVIRONMENT,IMPACT_TYPE
node:f0d2751e-daf2-463c-8f16-604206d5dd65,REPUTATION,IMPACT_TYPE
node:91e99ca8-a7fd-4dc3-b647-8383ee3de697,1. MINIMAL IMPACT,SEVERITY_DESC
node:07841d7e-4d12-4c50-bee7-fb54a122e5fa,NEGLIBLE,SEVERITY_DESC
node:7b446246-bad4-4606-bc9e-f3753f11c660,2. UNLIKELY,LIKELIHOOD_RANGE
node:a3cf1ab5-f050-4d5d-a634-32af2ba97d69,ADMIRALTY YARD (SINGAPORE) - 06-01-2022,LOCATION
node:3a2503a6-755a-44e9-a099-b9991dc1cc7b,076328C001 - KARISH OFFSHORE GAZ DEVELOPMENT PROJECT,PROJECT
node:6850c1a1-0eee-4910-b15d-1d3a40297075,NEAR MISS 10509 - NEAR MISS - TEST CELL DOOR SAFETY LATCH DROPPED,INCIDENT_TYPE
node:a3cefe5b-6b26-4162-a5ee-231adcbd018a,TEST CELL DOOR SAFETY LATCH,EQUIPMENT
node:1d6d84a2-2184-480f-90f7-0ae2ef68e812,NUSAJAYA CAMPUS 2,LOCATION
node:7b43d793-b6b4-4edd-a57c-09aa6bb8f72a,2022-09-28,DATE
node:22920af8-1f68-4eb1-923c-6269b0f964da,NEAR MISS 29688 - TOOLS TROLLEY TRAY COLLAPSED,INCIDENT_TYPE
node:f40fe24d-99fb-4994-9658-e246a7595bf5,LONG BORING BAR,EQUIPMENT
node:da5d78df-d52a-4012-9170-ac76eae487b5,SINGAPORE MANUFACTURING,LOCATION
node:7250b851-ea29-473d-b248-7de34a253e10,2025-07-06,DATE
node:1eafb7df-4553-4467-bb0a-7975873b0216,INCIDENT 654899 - WING VALVE WASH OUT,INCIDENT_TYPE
node:a6ed5d55-2186-4b35-9c66-1c4de43b746d,WING VALVE,EQUIPMENT
node:2c563937-3918-4654-b1d8-5c07e0f186fc,ENVIRONMENTAL RELEASE,IMPACT_TYPE
node:4201bc66-f164-4e5a-81c2-51409f94a5df,MINOT SERVICE BASE,LOCATION
node:2b9d981a-c1c2-49f0-aae4-f59e39b01127,HESS CORPORATION,ORGANIZATION
node:08a57d34-c950-4904-b324-e3aa5eba49c7,VESSEL / YARDS,WORK_PROCESS
node:21861e4e-aca2-4afa-8ef1-562bf374b82a,10/11/2019,DATE
node:e2cc9648-4311-4e60-b1c1-f31b15803289,INJURY,IMPACT_TYPE
node:e5425380-cb2c-4f6a-b3c0-1510a2de7782,FIRST AID CARE,SEVERITY_DESC
node:62c78d0f-5a96-4952-b0ac-acbd8cbcc27c,LIMITED IMPACT,SEVERITY_DESC
node:7f36d646-e1c0-4cbd-97bd-966b3de83c0c,2019-10-11,DATE
node:2d6cad9b-28e3-4a53-a0ac-b4146229ac47,INJURY - FIRST AID CARE,IMPACT_TYPE
node:1773ab56-9fce-40b2-be06-74b71bd80803,FINANCIAL IMPACT - SIGNIFICANT,IMPACT_TYPE
node:9ebda554-9e8b-4f91-9829-b01e466a16e7,ENVIRONMENT - LIMITED IMPACT,IMPACT_TYPE
node:9cc4209f-08f8-45ca-9554-080ebc7ced1d,SUBSTANCES - HAZARDOUS SOLIDS (EXPOSURE TO / SPILL / LOSS OF CONTAINMENT /POLLUTION),CASE_CATEGORIZATION
node:0185e028-9657-417f-8350-1abdff0b4e9c,FINANCIAL IMPACT,IMPACT_TYPE
node:1f48360d-de97-48ec-bb30-1894c5e09b2b,INCIDENT 65489 - WING VALVE WASH OUT,INCIDENT_TYPE
node:c41d7258-2b67-43f2-a83b-01ff9a8d52d1,HAZARDOUS SOLIDS (EXPOSURE TO / SPILL / LOSS OF CONTAINMENT / POLLUTION),EQUIPMENT
node:d1c34cc9-4d35-450e-b4b2-15fad128a57e,ACCIDENT 16135 - FIRST AID INJURY (MINOR CUT) ON LEFT ARM WHILE TRYING TO REMOVE THE PLASTIC SEAL OF WATER TIN USING TRIMMING BLADE,INCIDENT_TYPE
node:6b08034d-34fa-4997-9628-5fda49a64609,IXAR,ORGANIZATION
node:e5961eba-4913-4699-8476-2ba3c003416b,MINOR CUT,INJURY_TYPE
node:ea4fa46e-4731-4b6f-9018-f9f23161b159,LEFT ARM,BODY_PART
node:eafd48c7-b800-4b8d-920c-9f993bda4cde,TRIMMING BLADE,EQUIPMENT
node:85447d22-b48d-4133-a662-ad18f83d7851,HYDERABAD NMC MANUFACTURING,LOCATION
node:0f90ea26-7efb-4fcd-898a-07f50087235a,2023-07-31,DATE
node:ecc3b887-2a5e-43d1-8eaa-20cb275f1a28,ACCIDENT 563524 - FIRE IN KITCHEN,INCIDENT_TYPE
node:0e3387c2-25d5-4e77-84a9-a1f405ed55c5,FIRE EXTINGUISHERS,EQUIPMENT
node:58ece024-2e00-44d0-a6a9-052580090bd3,TECHNIPFMC DOC OFFICE,LOCATION
node:1547c366-423e-4dfc-a3bf-9b6bd5951e2a,12/12/2017,DATE
node:e05929f1-f18f-41dd-85b5-6bf738f11279,ACCIDENT 563524 - FIRE INCIDENT_XXXX - NON PROJECT SPECIFIC - 12/12/2017 - FIRE BROKE OUT IN THE KITCHEN,INCIDENT_TYPE
node:3b18d514-cdf3-41ee-95e2-d589a6824f3c,"UNKNOWN, DELHI, INDIA, INDIA",LOCATION
node:6d04a0c0-68b9-4be7-bb70-78c93d354909,TECHNIP ENERGIES INDIA LIMITED NEW DELHI,ORGANIZATION
node:31efba80-732d-450a-b55d-10d4f7de2dfd,SUPPORT SERVICE,EQUIPMENT
node:158bb2bb-b17e-4807-a3c9-65ce8c5ef864,12/15/2017,DATE
node:291dba5e-ffd4-4e35-8c45-81e44644a6fb,EMIA - TPINDIALTD - INDIA - NEW DELHI,OPERATING_CENTER
node:49539c15-caac-4568-8831-000e73336175,FIRE ACCIDENT IN TECHNIPFMC DOC OFFICE - KITCHEN FIRE,INCIDENT_TYPE
node:29e273e5-3eaa-4040-aa1e-f964fd6e2aa7,12TH DECEMBER 2017,DATE
node:4369584c-05f5-4526-927c-994b5a595bcf,"UNKNOWN, DELHI, INDIA",LOCATION
node:bccdcc50-857b-459c-9966-f3bf2135ef52,EVENING SNACKS,TASK
node:cf295e1b-5965-47bc-9105-5cf1c9573923,OIL,SUBSTANCE
node:2d465864-3eac-42ce-9d96-b28b8661ebed,EMPLOYEE OF CATERING SERVICE,ORGANIZATION
node:fbbaf2bf-c24e-469e-941f-00d24772eb9a,GROUND FLOOR,LOCATION
node:5c4f2471-4f19-47d5-95dd-f6d885530e95,KITCHEN,LOCATION
node:e3b05530-aa4d-41d5-acf6-205539b2638a,BUILDING WAS EVACUATED,TASK
node:7af89991-2e92-4b60-9852-9a2e7246c9df,NEAR MISS 18764 - PIPE MOVEMENT DURING CLAMP CUTTING AT ML,INCIDENT_TYPE
node:934f5dd5-1855-4db3-86dd-2396d711c283,SERIMAX WELDER,EQUIPMENT
node:ca3124a5-551b-4a22-8fa1-7cea5b224b7e,"9"" GRINDER",EQUIPMENT
node:fe586619-07c5-4687-b618-e88a9f9b21f4,ORKANGER SPOOLBASE,LOCATION
node:3fd519d1-d3b0-4e9b-a23c-3a9bd9d0eace,2024-01-15,DATE
node:8a5f3976-0996-4ec7-aff7-521315b8566b,NEAR MISS 22370 - INITIAL INCIDENT NOTIFICATION,INCIDENT_TYPE
node:88721fc7-5941-46d2-8646-2dd3ff830651,OLYMPIC CHALLENGER,LOCATION
node:31caf8e7-92f2-4f88-b890-f95b340422b1,"ABERDEEN, UK, EUROPE, TECHNIPFMC",LOCATION
node:e45c395c-edd5-4720-a921-abb90cacf940,OLYMPIC SUBSEA ASA,CLIENT
node:3a5aec78-d9f8-4d63-9489-d606212db2c0,CONSTRUCTION - INSTALLATION-OFFSHORE INSTALLATION,WORK_PROCESS
node:f2f3dff5-e92e-46a5-97c9-22e2af2c8086,FMCTECHUSA - USA - HOUSTON,OPERATING_CENTER
node:b9567b05-3435-490e-9fe8-540b7d23ca19,2024-07-15,DATE
node:7b40e688-e77b-4905-8e9c-d1411a4e3137,ACCIDENT 512199 - FIRST AID AT TECHNIP KL OFFICE,INCIDENT_TYPE
node:ce38d5ed-1ddf-4e2b-8881-f16c8fa97b4b,TECHNIP KL OFFICE,LOCATION
node:53af575e-be2b-42fd-a1c3-c991a1b8bd7c,2016-12-10,DATE
node:3d29384c-fdb5-4e21-9090-4ec4e293d3d6,2016-12-12,DATE
node:b5390c44-a7c0-4333-a7cc-be638ae5fd78,TECHNIP ENERGIES (M) SDN. BHD.,ORGANIZATION
node:f8e254c2-fd0a-420c-bf69-4db1b9700585,MECHANICAL - UNCONTROLLED MOVING OBJECTS/ PARTS,INCIDENT_TYPE
node:efb7fab7-3100-45ce-97dd-f070781db5bf,CHEST,BODY_PART
node:88c99a44-02a5-46d9-9a54-a9216cc2158f,NEAR MISS 604360 - PIPE FALL - UNLOADING ACCIDENT,INCIDENT_TYPE
node:c37460b4-7850-4d54-9f58-5c47c75c889e,8-INCH TUBE,EQUIPMENT
node:471313aa-788e-4821-bf9c-b45cf17cf54d,12 METERS LONG,LENGTH
node:92aa3eee-d7b3-448d-b038-6bc227d645f0,TSA,LOCATION
node:1d9b8d83-802d-4995-82a0-c424d6bf5589,SHAWCOR,ORGANIZATION
node:76f80231-5566-44d4-8982-1bfbc75e5367,8/28/2018,DATE
node:4263ef6e-174d-4b76-a08e-49166b4b043a,SAM - TPBRASIL - BRAZIL - RIO DE JANEIRO (REGION BZ),OPERATING_CENTER
node:b5bf813f-6efd-4c12-b643-2230fc9cabd9,075370C001 - PEREGRINO II SURF,PROJECT
node:9cbfa3f2-e7a5-499f-abdf-a1cde47a5c89,NOT WORK RELATED CASE,WORK_RELATIONSHIP
node:2313779c-ea08-49e6-b294-f4712e3f2d12,NON-TFMC OWNED OPERATION,TFMC_OWNERSHIP
node:3511dfcf-1c38-475b-92b3-99e95a18dc80,INCIDENT 714886 - CAR ACCIDENT ON HARADH ROAD,INCIDENT_TYPE
node:0624f12a-6462-4e2d-98e5-7e70ff6f9403,CAR,EQUIPMENT
node:67f3e391-fbdd-404e-a93c-0295eb5d64c2,TRUCK,EQUIPMENT
node:3e3f5cef-89c3-4881-8ade-4f0a95dc5a08,ZOBSOLETE – DAMMAM MANUFACTURING,LOCATION
node:fee8f6fe-45c0-4916-8e7f-541b0880d1a9,2021-05-05,DATE
node:42d55f25-5417-4f61-a9a0-36a764ec565d,NEAR MISS 620017 - NM - TUL - 29.12.18 - WINCH PULLING HEAD FAILED DUE TO OVER TENSIONED,INCIDENT_TYPE
node:a74fa261-9790-495a-9846-ad348b003423,2TE WINCH,EQUIPMENT
node:e8440ad2-3c42-403f-b189-9cd936bddb85,VHAM TEAM,ORGANIZATION
node:0ab77c96-8999-4c4a-86f5-a0eaafaea81c,TP UMBILICAL FACTORY,LOCATION
