src,rel,dst,src_label,dst_label,row_id
node:f65bceae9e1f5084,is Exposure to,node:3a6b50ed4095dd4c,description,activity by location,29857
node:94894d0480830370,description of is,node:93f0ff3210061310,type,Exposure to activity,29857
node:94894d0480830370,description of is,node:f9d5f765546f2696,type,Exposure,29857
node:94894d0480830370,description of is,node:0ceb2ed48a6b1d28,type,Exposure to activity by location,29857
node:e31f212b8e2f7a7d,is,node:f426ae6423a7bf2b,Unlikely Activity,occurs,29857
node:9e0a3afd66f4fadf,is,node:f426ae6423a7bf2b,case,occurs,29857
node:b66ca7b81154bd22,is,node:30b402df5de31446,value,2.0,29857
node:8987dddee8db0aa6,is,node:30b402df5de31446,criticality,2.0,29857
node:6ad8136021b8f634,is,node:56ad49b28b1f4b20,risk color,Green,29857
node:ebd9f7059080901b,is,node:150a24f7bf3f4ae1,system,Intelex,29857
node:1dc98cc9a40e5a79,is,node:b829b0e910489f28,date,13:00.0,29857
node:f02496fb1c3a429d,is Dropped,node:fcbecb8d22f19c02,title,pry bar seabed,29857
node:f02496fb1c3a429d,is Dropped,node:50f3f07ac4ebd18c,title,bar seabed,29857
node:c6266c80782ca872,involved in,node:9e0a3afd66f4fadf,General Business Unit,case,29857
node:afc97a12f07d4317,is,node:ccf791b80952cc4e,General Business Unit involved,Subsea,29857
node:efb0833c3b6eb969,is,node:0a8aa232494d650c,specific Business Unit,Projects,29857
node:efb0833c3b6eb969,involved in,node:9e0a3afd66f4fadf,specific Business Unit,case,29857
node:9613588cae9c50d2,involved in,node:9e0a3afd66f4fadf,The General Business Unit,case,29857
node:9613588cae9c50d2,is,node:0a8aa232494d650c,The General Business Unit,Projects,29857
node:9e0a3afd66f4fadf,occurred at,node:07c2fc087cd38657,case,workplace,29857
node:5322bd41eb35fa05,is,node:6b1673fb13c816cc,name,300613C001,29857
node:99ac13c2bb0f4fc7,is,node:8134b8752c35ca2c,client,SHELL OFFSHORE INC.,29857
node:d9d10f1dc86defd4,is,node:781f46fabbbd7ca3,case categorization,Hazard Identification,29857
node:f4fb9429ef1c1c5d,is,node:8dac4b27874f4313,work process,Construction,29857
node:9e0a3afd66f4fadf,was reported on,node:7a20432a920b4546,case,7/19/2023,29857
node:9e0a3afd66f4fadf,was,node:e2c8705aee880200,case,reported,29857
node:8045bc4ef3beffa2,is,node:4082fc94e32df0e3,status,Completed,29857
node:fd062c23cbff59ef,was,node:ee7d7df4366777c2,loss potential severity,1.0,29857
node:f59c096b3321a5ef,was,node:a34062f22795c56d,incident,when reported,29857
node:f59c096b3321a5ef,was,node:e2c8705aee880200,incident,reported,29857
node:f59c096b3321a5ef,be,node:f11aa01a8fad5b50,incident,closed,29857
node:3dc2d5f80ef9d4ee,corresponding to,node:a0966374f0a560d8,operating center,selected incident,29857
node:3dc2d5f80ef9d4ee,corresponding to,node:f59c096b3321a5ef,operating center,incident,29857
node:3dc2d5f80ef9d4ee,is,node:d12aa20bcd88a452,operating center,TPFMCUSA,29857
node:2809263c1552cd5a,is,node:fd628f49c74f57cc,location code,TFMC609,29857
node:f59c096b3321a5ef,code of is,node:fd628f49c74f57cc,incident,TFMC609,29857
node:70dc1e3530e16efa,followed,node:f8de7074f579c5c8,TFMC panel operator,end,764
node:70dc1e3530e16efa,followed,node:f0596e73ce9806c3,TFMC panel operator,front end,764
node:97970add426f331e,were following,node:f06567045a0b4eec,Serimax collaborators,middle,764
node:70dc1e3530e16efa,followed,node:dcca9b77c2d9ecb4,TFMC panel operator,front end of column,764
node:97970add426f331e,were following,node:61bf13270dfba43d,Serimax collaborators,middle of column,764
node:97970add426f331e,were following,node:6aab058442a6a2d7,Serimax collaborators,other end,764
node:97970add426f331e,were following,node:f8de7074f579c5c8,Serimax collaborators,end,764
node:70dc1e3530e16efa,followed,node:72f2c996a76e9872,TFMC panel operator,end of column,764
node:6bc029efa00480b2,arrived near,node:49bf99831835532e,tube point,Cabine 03,764
node:8d3ce4cc84d9787e,was,node:35c538ba89a41a83,supervisor,where accompanied by middle,764
node:8d3ce4cc84d9787e,was accompanied by,node:f06567045a0b4eec,supervisor,middle,764
node:8d3ce4cc84d9787e,was,node:8d26f7ebc9cdd0e3,supervisor,where accompanied by middle of column,764
node:8d3ce4cc84d9787e,was accompanied by,node:61bf13270dfba43d,supervisor,middle of column,764
node:8d3ce4cc84d9787e,was,node:05ae6e33389ced9d,supervisor,accompanied,764
node:8d3ce4cc84d9787e,was,node:85fd268b05724cc1,supervisor,where accompanied,764
node:e335d899b12e5f6c,arrived near,node:49bf99831835532e,spot,Cabine 03,764
node:fe2299dbbd57daae,is In,node:e335d899b12e5f6c,Accident,spot,764
node:8d3ce4cc84d9787e,was accompanied by,node:9e0a3afd66f4fadf,supervisor,case,764
node:8d3ce4cc84d9787e,was,node:05ae6e33389ced9d,supervisor,accompanied,764
node:8d3ce4cc84d9787e,was,node:49110eb7172e4ce5,supervisor,where accompanied by case,764
node:8d3ce4cc84d9787e,was,node:85fd268b05724cc1,supervisor,where accompanied,764
node:31293efe993c24ad,type of is,node:1c1b1bd9d2192d38,impact,Damage,764
node:94894d0480830370,is,node:1c1b1bd9d2192d38,type,Damage,764
node:1a345cef2abea8d3,is,node:30b402df5de31446,severity value,2.0,764
node:f65bceae9e1f5084,is Probability of,node:3870a30e191483dc,description,event,764
node:f65bceae9e1f5084,is Probability of,node:f105e53fe5a10f50,description,undesired event,764
node:f65bceae9e1f5084,is,node:3d73a65ff68270a6,description,Probability,764
node:9e0a3afd66f4fadf,is,node:89c9e690f63d8de8,case,occur,764
node:b66ca7b81154bd22,is,node:67f61e3da5145b1a,value,3.0,764
node:8987dddee8db0aa6,is,node:498b3797c1ffeb8d,criticality,8.0,764
node:6ad8136021b8f634,is,node:56ad49b28b1f4b20,risk color,Green,764
node:b66ca7b81154bd22,is,node:1c9898c2a5f6f9bf,value,0.0,764
node:688608fa38c6d97c,is,node:56ad49b28b1f4b20,mitigated risk color,Green,764
node:6ad8136021b8f634,is,node:56ad49b28b1f4b20,risk color,Green,764
node:ebd9f7059080901b,is,node:150a24f7bf3f4ae1,system,Intelex,764
node:1dc98cc9a40e5a79,is,node:eda229aab6a7cb97,date,00:00.0,764
node:c6266c80782ca872,involved in,node:9e0a3afd66f4fadf,General Business Unit,case,764
node:afc97a12f07d4317,is,node:ccf791b80952cc4e,General Business Unit involved,Subsea,764
node:efb0833c3b6eb969,is,node:0a8aa232494d650c,specific Business Unit,Projects,764
node:efb0833c3b6eb969,involved in,node:9e0a3afd66f4fadf,specific Business Unit,case,764
node:9613588cae9c50d2,involved in,node:9e0a3afd66f4fadf,The General Business Unit,case,764
node:9613588cae9c50d2,is,node:0a8aa232494d650c,The General Business Unit,Projects,764
node:9e0a3afd66f4fadf,occurred at,node:07c2fc087cd38657,case,workplace,764
node:ace9b0eac87cb97b,name of is,node:d0332e0f1eb5edd3,project,077524C001,764
node:5322bd41eb35fa05,is,node:d0332e0f1eb5edd3,name,077524C001,764
node:99ac13c2bb0f4fc7,is,node:dced6ea9be60cf06,client,TECHNIPFMC PLC.,764
node:d9d10f1dc86defd4,is,node:8e0b41015560da53,case categorization,Inadequate Supervision,764
node:f4fb9429ef1c1c5d,is,node:cd645485f0892b3a,work process,Manufacturing-Assembly,764
node:beef3462beb17905,are,node:443a745bad2abfcf,life rules,Bypassing Safety Controls,764
node:ccc83dc829b0c87c,are,node:443a745bad2abfcf,life saving rules,Bypassing Safety Controls,764
node:9e0a3afd66f4fadf,was,node:e2c8705aee880200,case,reported,764
node:9e0a3afd66f4fadf,was reported on,node:8b7bf3aee679c80e,case,3/21/2022,764
node:8045bc4ef3beffa2,is,node:4082fc94e32df0e3,status,Completed,764
node:fd062c23cbff59ef,was,node:30b402df5de31446,loss potential severity,2.0,764
node:f59c096b3321a5ef,has,node:6a611dc3333cada5,incident,has approved,764
node:f59c096b3321a5ef,has,node:8b3aa9c18f3ac1e0,incident,when has approved,764
node:1dc98cc9a40e5a79,is,node:606a707595fbe5d2,date,10/24/2022,764
node:f59c096b3321a5ef,was,node:a34062f22795c56d,incident,when reported,764
node:f59c096b3321a5ef,was,node:e2c8705aee880200,incident,reported,764
node:f59c096b3321a5ef,be,node:f11aa01a8fad5b50,incident,closed,764
node:3dc2d5f80ef9d4ee,is,node:87e6f979dbf54aa1,operating center,TPBRASIL,764
node:3dc2d5f80ef9d4ee,corresponding to,node:f59c096b3321a5ef,operating center,incident,764
node:3dc2d5f80ef9d4ee,corresponding to,node:a0966374f0a560d8,operating center,selected incident,764
node:f59c096b3321a5ef,code of is,node:8e689d7ec730247d,incident,TFMC640,764
node:2809263c1552cd5a,is,node:8e689d7ec730247d,location code,TFMC640,764
node:8045bc4ef3beffa2,is,node:65dc49e7dc1b4917,status,Active,764
node:9a994b5e2eccaac6,was transporting,node:3278b0bd47d3df30,20T Forklift,cabin basket,324
node:9a994b5e2eccaac6,reversing for,node:a476406b9cde8d54,20T Forklift,3 point,324
node:4030799b05bd997b,was transporting,node:3278b0bd47d3df30,Forklift,cabin basket,324
node:4030799b05bd997b,was transporting,node:4ac2697ce30524d3,Forklift,offshore cabin basket,324
node:9a994b5e2eccaac6,was transporting cabin basket,node:9537bf61b54110b4,20T Forklift,reversing,324
node:9a994b5e2eccaac6,was transporting cabin basket,node:f8600188b20f6f1e,20T Forklift,reversing for 3 point,324
node:4030799b05bd997b,was transporting cabin basket,node:9537bf61b54110b4,Forklift,reversing,324
node:4030799b05bd997b,was transporting cabin basket,node:f8600188b20f6f1e,Forklift,reversing for 3 point,324
node:9a994b5e2eccaac6,was transporting,node:4ac2697ce30524d3,20T Forklift,offshore cabin basket,324
node:4030799b05bd997b,reversing for,node:a476406b9cde8d54,Forklift,3 point,324
node:31293efe993c24ad,type of is,node:1c1b1bd9d2192d38,impact,Damage,324
node:94894d0480830370,is,node:1c1b1bd9d2192d38,type,Damage,324
node:1a345cef2abea8d3,is,node:30b402df5de31446,severity value,2.0,324
node:94894d0480830370,description of is,node:1d051ddebb2afa7b,type,Frequency,324
node:f65bceae9e1f5084,is Frequency of,node:f59c096b3321a5ef,description,incident,324
node:f65bceae9e1f5084,is,node:1d051ddebb2afa7b,description,Frequency,324
node:9e0a3afd66f4fadf,Has,node:193ad9ad8dec6fbf,case,Has occurred in our company,324
node:9e0a3afd66f4fadf,Has,node:a0bc746ddfb69b1b,case,Has occurred,324
node:b66ca7b81154bd22,is,node:67f61e3da5145b1a,value,3.0,324
node:8987dddee8db0aa6,is,node:498b3797c1ffeb8d,criticality,8.0,324
node:6ad8136021b8f634,is,node:56ad49b28b1f4b20,risk color,Green,324
node:b66ca7b81154bd22,is,node:30b402df5de31446,value,2.0,324
node:688608fa38c6d97c,is,node:56ad49b28b1f4b20,mitigated risk color,Green,324
node:6ad8136021b8f634,is,node:56ad49b28b1f4b20,risk color,Green,324
node:ebd9f7059080901b,is,node:150a24f7bf3f4ae1,system,Intelex,324
node:1dc98cc9a40e5a79,is,node:eab3cf89de029c42,date,20:00.0,324
node:2059d0a17182badc,is dented,node:f9fc27290375889c,20Ton Forklift,parking delivery truck,324
node:f02496fb1c3a429d,is dented,node:f9fc27290375889c,title,parking delivery truck,324
node:afc97a12f07d4317,is,node:b7a3802d43e0d4cc,General Business Unit involved,REMS,324
node:c6266c80782ca872,involved in,node:9e0a3afd66f4fadf,General Business Unit,case,324
node:9613588cae9c50d2,is,node:8d6dff8e9e39de5d,The General Business Unit,Surface Products,324
node:efb0833c3b6eb969,is,node:8d6dff8e9e39de5d,specific Business Unit,Surface Products,324
node:9613588cae9c50d2,involved in,node:9e0a3afd66f4fadf,The General Business Unit,case,324
node:efb0833c3b6eb969,involved in,node:9e0a3afd66f4fadf,specific Business Unit,case,324
node:9e0a3afd66f4fadf,occurred at,node:07c2fc087cd38657,case,workplace,324
node:5322bd41eb35fa05,is,node:a5e8d30551a7cb72,name,Non Project Specific,324
node:99ac13c2bb0f4fc7,is,node:dced6ea9be60cf06,client,TECHNIPFMC PLC.,324
node:d9d10f1dc86defd4,is,node:7fa629320f9b3458,case categorization,Workplace layout,324
node:f4fb9429ef1c1c5d,is,node:688a52403875ab92,work process,Manufacturing-Warehouse,324
node:9e0a3afd66f4fadf,was,node:e2c8705aee880200,case,reported,324
node:9e0a3afd66f4fadf,was reported on,node:452f9ab73ceb87e8,case,1/11/2022,324
node:8045bc4ef3beffa2,is,node:4082fc94e32df0e3,status,Completed,324
node:fd062c23cbff59ef,was,node:30b402df5de31446,loss potential severity,2.0,324
node:f59c096b3321a5ef,has,node:6a611dc3333cada5,incident,has approved,324
node:1dc98cc9a40e5a79,is,node:ceba3cea7517ce53,date,7/5/2022,324
node:f59c096b3321a5ef,has,node:8b3aa9c18f3ac1e0,incident,when has approved,324
node:f59c096b3321a5ef,was,node:a34062f22795c56d,incident,when reported,324
node:f59c096b3321a5ef,was,node:e2c8705aee880200,incident,reported,324
node:f59c096b3321a5ef,be,node:f11aa01a8fad5b50,incident,closed,324
node:3dc2d5f80ef9d4ee,is,node:a5e8d30551a7cb72,operating center,Non Project Specific,324
node:3dc2d5f80ef9d4ee,corresponding to,node:f59c096b3321a5ef,operating center,incident,324
node:3dc2d5f80ef9d4ee,corresponding to,node:a0966374f0a560d8,operating center,selected incident,324
node:f59c096b3321a5ef,code of is,node:00e9e4a9ccd34fc0,incident,TFMC408,324
node:2809263c1552cd5a,is,node:00e9e4a9ccd34fc0,location code,TFMC408,324
node:707b607494d51687,hit,node:9f61fe9f976fee2f,personnel 's leg,staircase,16174
node:f7abaf52ca54d835,has,node:c154363fb82db1c8,personnel,leg,16174
node:707b607494d51687,had,node:0fb139cbf588c21e,personnel 's leg,bruise,16174
node:f7abaf52ca54d835,was,node:8231e6b99c2601b2,Personnel,taken to medic at FLT Onne Base,16174
node:f7abaf52ca54d835,was,node:a60d555e4c47d1f5,Personnel,taken,16174
node:f7abaf52ca54d835,was taken at,node:5e6e8b7b043f376e,Personnel,Total FLT Onne Base,16174
node:f7abaf52ca54d835,receive,node:de28dee12e3339d4,Personnel,attention,16174
node:f7abaf52ca54d835,was,node:ce88bd347b473575,Personnel,taken to medic at Total FLT Onne Base,16174
node:f7abaf52ca54d835,was taken to,node:ebf0acaf5530fc0e,Personnel,medic,16174
node:f7abaf52ca54d835,receive,node:28cc7f16139ce10d,Personnel,medical attention,16174
node:f7abaf52ca54d835,was taken at,node:febd490f6b50e55a,Personnel,FLT Onne Base,16174
node:f7abaf52ca54d835,was,node:5140db329bd4d184,personnel,after which referred for x-ray on affected area,16174
node:f7abaf52ca54d835,was,node:504efb7acaa4bd54,personnel,referred to PH clinic for x-ray,16174
node:f7abaf52ca54d835,was,node:df3ea2b3b13eff8c,personnel,referred to PH clinic for x-ray on area,16174
node:f7abaf52ca54d835,was referred for,node:812c9c91b1166671,personnel,x-ray,16174
node:e04227f91d94ea5d,was,node:983c9f44125421a6,First aid,administered,16174
node:f7abaf52ca54d835,was,node:cdfa4d48d15975b0,personnel,referred to Total PH clinic for x-ray on affected area,16174
node:f7abaf52ca54d835,was,node:77d6e6317727d7ef,personnel,referred to PH clinic for x-ray on affected area,16174
node:f7abaf52ca54d835,was,node:8c29bf24d97f1cf2,personnel,referred,16174
node:f7abaf52ca54d835,was,node:19ee3db8366a4308,personnel,after which referred to PH clinic for x-ray,16174
node:f7abaf52ca54d835,was,node:ed063a8d4c4d61ac,personnel,after which referred to Total PH clinic for x-ray on affected area,16174
node:f7abaf52ca54d835,was,node:a08316625ccda723,personnel,after which referred,16174
node:f7abaf52ca54d835,was,node:9603d22617bb5bd4,personnel,after which referred for x-ray,16174
node:61e59075944ea347,was,node:983c9f44125421a6,aid,administered,16174
node:f7abaf52ca54d835,was referred for,node:470fa8db6a411275,personnel,x-ray on area,16174
node:f7abaf52ca54d835,was,node:c7e27ed9d26aaa2c,personnel,after which referred for x-ray on area,16174
node:f7abaf52ca54d835,was referred for,node:88360b6927036ef5,personnel,x-ray on affected area,16174
node:f7abaf52ca54d835,was referred to,node:2743c73232fee054,personnel,PH clinic,16174
node:f7abaf52ca54d835,was,node:e777f0102b73a958,personnel,after which referred to PH clinic,16174
node:f7abaf52ca54d835,was,node:315744a395ba032b,personnel,after which referred to PH clinic for x-ray on area,16174
node:f7abaf52ca54d835,was,node:5f3a726eede29e8f,personnel,referred to Total PH clinic for x-ray,16174
node:f7abaf52ca54d835,was,node:a1571dabec1dccf0,personnel,after which referred to Total PH clinic for x-ray,16174
node:f7abaf52ca54d835,was,node:24254ea1e3042e3a,personnel,after which referred to PH clinic for x-ray on affected area,16174
node:f7abaf52ca54d835,was,node:531b546a4a0f82ae,personnel,after which referred to Total PH clinic,16174
node:f7abaf52ca54d835,was,node:060f9de00af323ef,personnel,referred to Total PH clinic for x-ray on area,16174
node:f7abaf52ca54d835,was,node:a32786695507330d,personnel,after which referred to Total PH clinic for x-ray on area,16174
node:f7abaf52ca54d835,was referred to,node:cc38b53cc330b744,personnel,Total PH clinic,16174
node:812c9c91b1166671,was,node:0e6064f7ceb232b8,X-ray,On 13th August 2023 performed on personnel 's leg,16174
node:97551d797dabbdfd,was,node:c5c2e70aeea5edc6,all,OK,16174
node:812c9c91b1166671,was performed On,node:4123dd045b654888,X-ray,13th August 2023,16174
node:812c9c91b1166671,was,node:8a7272cb6a2e081a,X-ray,On August 2023 performed on personnel 's leg,16174
node:812c9c91b1166671,was,node:ba1044ea7d693d4d,X-ray,performed,16174
node:f7abaf52ca54d835,was,node:2ab78ffec165bd79,personnel,discharged,16174
node:f7abaf52ca54d835,was,node:03f730c3a97f1a31,personnel,after which discharged,16174
node:f7abaf52ca54d835,was discharged from,node:3627925c1dfd3da6,personnel,clinic,16174
node:812c9c91b1166671,was performed on,node:707b607494d51687,X-ray,personnel 's leg,16174
node:f7abaf52ca54d835,on,node:c154363fb82db1c8,personnel,leg,16174
node:f7abaf52ca54d835,was,node:5a8777c2b554d472,personnel,after which discharged from clinic,16174
node:812c9c91b1166671,was performed On,node:a4aea24b6ab7ac64,X-ray,August 2023,16174
node:94894d0480830370,is,node:3a0fe8545bac232e,type,Injury/Illness,16174
node:f65bceae9e1f5084,is,node:4dd842546de55b2c,description,Negligible,16174
node:1a345cef2abea8d3,is,node:ee7d7df4366777c2,severity value,1.0,16174
node:f65bceae9e1f5084,is Probability of,node:3870a30e191483dc,description,event,16174
node:f65bceae9e1f5084,is Probability of,node:f105e53fe5a10f50,description,undesired event,16174
node:f65bceae9e1f5084,is,node:3d73a65ff68270a6,description,Probability,16174
node:9e0a3afd66f4fadf,is,node:89c9e690f63d8de8,case,occur,16174
node:b66ca7b81154bd22,is,node:67f61e3da5145b1a,value,3.0,16174
node:8987dddee8db0aa6,is,node:c5c11887218b0e4c,criticality,4.0,16174
node:6ad8136021b8f634,is,node:56ad49b28b1f4b20,risk color,Green,16174
node:ebd9f7059080901b,is,node:150a24f7bf3f4ae1,system,Intelex,16174
node:1dc98cc9a40e5a79,is,node:e27a19e526d101f1,date,45:00.0,16174
node:f02496fb1c3a429d,is,node:c26941ac34c0172e,title,scratch,16174
node:f02496fb1c3a429d,is scratch to,node:c154363fb82db1c8,title,Leg,16174
node:9e0a3afd66f4fadf,title of is,node:bb8b3b26a9d48ec3,case,Minor scratch to Leg from Trip,16174
node:f02496fb1c3a429d,is Minor scratch to,node:d2a66dd32d792a2a,title,Leg from Trip,16174
node:9e0a3afd66f4fadf,title of is,node:cf5e9973e959d6a4,case,Minor scratch,16174
node:f02496fb1c3a429d,is scratch to,node:d2a66dd32d792a2a,title,Leg from Trip,16174
node:f02496fb1c3a429d,is,node:cf5e9973e959d6a4,title,Minor scratch,16174
node:f02496fb1c3a429d,is Minor scratch to,node:c154363fb82db1c8,title,Leg,16174
node:9e0a3afd66f4fadf,title of is,node:6efd50af1f070ab9,case,scratch to Leg from Trip,16174
node:9e0a3afd66f4fadf,title of is,node:2747f7f0a94d9e5f,case,Minor scratch to Leg,16174
node:9e0a3afd66f4fadf,title of is,node:1d405714c10a00d9,case,scratch to Leg,16174
node:9e0a3afd66f4fadf,title of is,node:c26941ac34c0172e,case,scratch,16174
node:c6266c80782ca872,involved in,node:9e0a3afd66f4fadf,General Business Unit,case,16174
node:afc97a12f07d4317,is,node:ccf791b80952cc4e,General Business Unit involved,Subsea,16174
node:efb0833c3b6eb969,involved in,node:9e0a3afd66f4fadf,specific Business Unit,case,16174
node:efb0833c3b6eb969,is,node:0efe3aa51493aa54,specific Business Unit,Services,16174
node:9613588cae9c50d2,involved in,node:9e0a3afd66f4fadf,The General Business Unit,case,16174
node:9613588cae9c50d2,is,node:0efe3aa51493aa54,The General Business Unit,Services,16174
node:9e0a3afd66f4fadf,occurred at,node:07c2fc087cd38657,case,workplace,16174
node:5322bd41eb35fa05,is,node:a5e8d30551a7cb72,name,Non Project Specific,16174
node:99ac13c2bb0f4fc7,is,node:76736dbe8d6ee5b5,client,TECHNIPFMC NIGERIA LIMITED,16174
node:d9d10f1dc86defd4,is,node:781f46fabbbd7ca3,case categorization,Hazard Identification,16174
node:f4fb9429ef1c1c5d,is,node:8dac4b27874f4313,work process,Construction,16174
node:9e0a3afd66f4fadf,was,node:e2c8705aee880200,case,reported,16174
node:9e0a3afd66f4fadf,was reported on,node:bef398db929ea930,case,8/15/2023,16174
node:8045bc4ef3beffa2,is,node:4082fc94e32df0e3,status,Completed,16174
node:fd062c23cbff59ef,was,node:ee7d7df4366777c2,loss potential severity,1.0,16174
node:f59c096b3321a5ef,has,node:6a611dc3333cada5,incident,has approved,16174
node:1dc98cc9a40e5a79,is,node:7b299a6e77e4aacb,date,7/30/2024,16174
node:f59c096b3321a5ef,has,node:8b3aa9c18f3ac1e0,incident,when has approved,16174
node:f59c096b3321a5ef,was,node:a34062f22795c56d,incident,when reported,16174
node:f59c096b3321a5ef,was,node:e2c8705aee880200,incident,reported,16174
node:f59c096b3321a5ef,be,node:f11aa01a8fad5b50,incident,closed,16174
node:3dc2d5f80ef9d4ee,is,node:a5e8d30551a7cb72,operating center,Non Project Specific,16174
node:3dc2d5f80ef9d4ee,corresponding to,node:f59c096b3321a5ef,operating center,incident,16174
node:3dc2d5f80ef9d4ee,corresponding to,node:a0966374f0a560d8,operating center,selected incident,16174
node:f59c096b3321a5ef,code of is,node:9ddbbda0ad267791,incident,TFMC374,16174
node:2809263c1552cd5a,is,node:9ddbbda0ad267791,location code,TFMC374,16174
node:8045bc4ef3beffa2,is,node:65dc49e7dc1b4917,status,Active,16174
node:94894d0480830370,is,node:3a0fe8545bac232e,type,Injury/Illness,10410
node:f65bceae9e1f5084,is,node:4dd842546de55b2c,description,Negligible,10410
node:1a345cef2abea8d3,is,node:ee7d7df4366777c2,severity value,1.0,10410
node:f65bceae9e1f5084,is Probability of,node:3870a30e191483dc,description,event,10410
node:f65bceae9e1f5084,is Probability of,node:f105e53fe5a10f50,description,undesired event,10410
node:f65bceae9e1f5084,is,node:3d73a65ff68270a6,description,Probability,10410
node:b66ca7b81154bd22,is,node:ee7d7df4366777c2,value,1.0,10410
node:8987dddee8db0aa6,is,node:ee7d7df4366777c2,criticality,1.0,10410
node:6ad8136021b8f634,is,node:56ad49b28b1f4b20,risk color,Green,10410
node:ebd9f7059080901b,is,node:150a24f7bf3f4ae1,system,Intelex,10410
