is_match,type,title_l,title_r,score,nums_l,nums_r,num_jaccard,num_mismatch,risk_score
0,LOCATION,floor,floors,0.9091,,,1,FALSE,6.489
1,LOCATION,floor,Flor,0.8889,,,1,FALSE,6.469
1,INJURY_TYPE,injuries,injures,0.9231,,,1,FALSE,6.459
1,EQUIPMENT,crane,cranes,1,,,1,FALSE,6.436
1,BODY_PART,left hand,hand,1,,,1,FALSE,6.407
1,ORGANIZATION,TFMC,Technip PMC,0.8571,,,1,FALSE,6.394
1,ORGANIZATION,Client,Cliente,0.9231,,,1,FALSE,6.393
1,LOCATION,main deck,maindeck,0.9412,,,1,FALSE,6.369
0,INJURY_TYPE,injuries,injuried,0.9333,,,1,FALSE,6.357
0,LOCATION,ground,grounds,0.9231,,,1,FALSE,6.356
1,ORGANIZATION,Client,Clients,0.9231,,,1,FALSE,6.352
1,ORGANIZATION,TFMC,TechnpFMC,0.9474,,,1,FALSE,6.349
1,ORGANIZATION,TECHNIPFMC UMBILICALS LTD,"TechnipFMC Umbilicals, Inc.",0.9767,,,1,FALSE,6.294
1,BODY_PART,right hand,hand,1,,,1,FALSE,6.293
0,INJURY_TYPE,injuries,injured,0.8571,,,1,FALSE,6.281
1,EQUIPMENT,ROV,ROV’s,0.8571,,,1,FALSE,6.216
1,EQUIPMENT,ROV,ROV's,0.8571,,,1,FALSE,6.209
0,LOCATION,ground,ground 0,0.8571,,0,0,FALSE,6.158
0,BODY_PART,left hand,hands,1,,,1,FALSE,6.12
1,EQUIPMENT,palet,pallet,0.9091,,,1,FALSE,6.062
1,BODY_PART,left hand,left  hand,1,,,1,FALSE,6.052
1,BODY_PART,finger,fingeren,0.8571,,,1,FALSE,5.992
1,ORGANIZATION,TECHNIP FMC,TechnpFMC,0.9,,,1,FALSE,5.99
0,EQUIPMENT,train 2,Train 1,0.8571,2,1,0,TRUE,5.972
0,BODY_PART,right hand,hands,1,,,1,FALSE,5.966
1,BODY_PART,Knee,kneet,0.8889,,,1,FALSE,5.945
0,LOCATION,Building 3,Building 6,0.9,3,6,0,TRUE,5.944
0,LOCATION,station 1,station 4,0.8889,1,4,0,TRUE,5.934
1,ORGANIZATION,TECHNIP FMC,Technip PMC,0.9091,,,1,FALSE,5.899
1,EQUIPMENT,equipamento,equipment,0.9,,,1,FALSE,5.89
1,BODY_PART,right hand,right  hand,1,,,1,FALSE,5.889
1,ORGANIZATION,VELESSTROY,Velesstroi,0.9,,,1,FALSE,5.883
1,BODY_PART,middle finger,finger,1,,,1,FALSE,5.883
1,ORGANIZATION,WOODSIDE ENERGY LTD.,"WOODSIDE ENERGY, LTD.",0.9677,,,1,FALSE,5.88
1,ORGANIZATION,EXXON MOBILE,EXXONMOBIL,0.9091,,,1,FALSE,5.879
1,ORGANIZATION,VELESSTROY,Velestsroy,0.9,,,1,FALSE,5.86
0,LOCATION,station 1,station 0,0.8889,1,0,0,TRUE,5.833
0,LOCATION,station 1,Station 3,0.8889,1,3,0,TRUE,5.833
0,LOCATION,station 1,station 6,0.8889,1,6,0,TRUE,5.833
1,ORGANIZATION,EXXON MOBIL,EXXONMOBIL,0.9524,,,1,FALSE,5.823
1,BODY_PART,finger,index finger,1,,,1,FALSE,5.805
0,LOCATION,level 1,Level 2,0.8571,1,2,0,TRUE,5.79
0,LOCATION,station 1,Station 9,0.8889,1,9,0,TRUE,5.779
0,LOCATION,station 1,Station 2,0.8889,1,2,0,TRUE,5.779
1,ORGANIZATION,PETRONAS,Petrogas,0.875,,,1,FALSE,5.774
0,ORGANIZATION,PETRONAS,Petrobas,0.875,,,1,FALSE,5.774
0,LOCATION,Building 3,Building 1,0.9,3,1,0,TRUE,5.773
0,LOCATION,Area 1,Area 51,0.9231,1,51,0,TRUE,5.765
1,ORGANIZATION,"TechnipFMC Umbilicals, Inc.",TechnipFMC Umbilicals (TU) Ltd,0.875,,,1,FALSE,5.754
1,ORGANIZATION,"TECHNIPFMC USA, INC.","TECHNIP USA, INC.",0.8889,,,1,FALSE,5.749
0,LOCATION,building 14,Building 15,0.9091,14,15,0,TRUE,5.742
0,INJURY_TYPE,injuries,minor injuries,1,,,1,FALSE,5.727
1,ORGANIZATION,"TechnipFMC Umbilicals, Inc.",Technip Umbilical,0.8718,,,1,FALSE,5.722
0,LOCATION,station 1,station 5,0.8889,1,5,0,TRUE,5.722
1,BODY_PART,left foot,foot,1,,,1,FALSE,5.714
1,LOCATION,zObsolete - Greece,Greece,1,,,1,FALSE,5.714
0,LOCATION,Area 81,Area 1,0.9231,81,1,0,TRUE,5.713
0,LOCATION,workshop,Workshop 1,0.8889,,1,0,FALSE,5.709
0,LOCATION,station 1,stations 10,0.9,1,10,0,TRUE,5.708
0,LOCATION,station 1,station #16,0.9,1,16,0,TRUE,5.708
0,LOCATION,Building 3,Building 7,0.9,3,7,0,TRUE,5.708
0,LOCATION,level 3,level 1,0.8571,3,1,0,TRUE,5.706
0,INJURY_TYPE,injuries,superficial injuries,1,,,1,FALSE,5.697
0,LOCATION,workshop,Workshop-3,0.8889,,3,0,FALSE,5.693
0,LOCATION,workshop,Workshop B,0.8889,,,1,FALSE,5.693
0,LOCATION,workshop,workshop A,0.8889,,,1,FALSE,5.693
0,LOCATION,workshop,Workshop 2,0.8889,,2,0,FALSE,5.693
0,INJURY_TYPE,injuries,slight injuries,1,,,1,FALSE,5.69
0,LOCATION,workshop,workshop F,0.8889,,,1,FALSE,5.685
0,LOCATION,workshop,workshop 6,0.8889,,6,0,FALSE,5.685
0,LOCATION,workshop,workshop H,0.8889,,,1,FALSE,5.685
0,LOCATION,Building 71,Building 15,0.9091,71,15,0,TRUE,5.682
0,LOCATION,Building 15,Building 16,0.9091,15,16,0,TRUE,5.682
1,BODY_PART,eye,right eye,1,,,1,FALSE,5.68
1,EQUIPMENT,ROV,ROVs,1,,,1,FALSE,5.677
1,BODY_PART,right foot,foot,1,,,1,FALSE,5.663
0,LOCATION,level 5,level 1,0.8571,5,1,0,TRUE,5.662
0,LOCATION,station 1,station 8,0.8889,1,8,0,TRUE,5.662
0,LOCATION,Building 3,Building 15,0.8571,3,15,0,TRUE,5.662
0,EQUIPMENT,Train 1,Train 3,0.8571,1,3,0,TRUE,5.662
0,LOCATION,Area 1,Area 19,0.9231,1,19,0,TRUE,5.659
0,INJURY_TYPE,laceration,lacerating,0.9,,,1,FALSE,5.644
1,BODY_PART,eye,left eye,1,,,1,FALSE,5.642
1,LOCATION,quayside,quaysite,0.875,,,1,FALSE,5.64
0,LOCATION,Building 3,Building 2,0.9,3,2,0,TRUE,5.639
0,EQUIPMENT,ROV XLX 94,ROV XLX 93,0.9,94,93,0,TRUE,5.639
1,BODY_PART,ring finger,finger,1,,,1,FALSE,5.617
1,ORGANIZATION,"TECHNIPFMC USA, INC.",TechnipFMC Subsea,0.875,,,1,FALSE,5.61
1,BODY_PART,finger,Right Index Finger,1,,,1,FALSE,5.609
0,LOCATION,Area 1,Area 13,0.9231,1,13,0,TRUE,5.602
0,LOCATION,Area 1,Area 31,0.9231,1,31,0,TRUE,5.602
0,LOCATION,Area 1,Area 14,0.9231,1,14,0,TRUE,5.602
1,BODY_PART,lower back,low back,0.8889,,,1,FALSE,5.599
0,LOCATION,station 1,Station 7,0.8889,1,7,0,TRUE,5.597
0,EQUIPMENT,ROV XLX94,ROV XLX74,0.8889,94,74,0,TRUE,5.597
1,BODY_PART,finger,left index finger,1,,,1,FALSE,5.595
1,ORGANIZATION,MIDDLE EAST OIL REFINERY - MIDOR,MIDDLE EAST OIL REFINERY (MIDOR),0.9375,,,1,FALSE,5.595
0,BODY_PART,fingers,finger,1,,,1,FALSE,5.583
0,LOCATION,level 4,level 1,0.8571,4,1,0,TRUE,5.567
1,LOCATION,quayside,quay side,0.9412,,,1,FALSE,5.551
1,ORGANIZATION,ASIAFLEX PRODUCTS SDN. BHD.,ASIAFLEX PRODUCTS SDN BHD,0.9615,,,1,FALSE,5.55
0,LOCATION,area 2,area 72,0.9231,2,72,0,TRUE,5.542
0,LOCATION,area 2,Area 20,0.9231,2,20,0,TRUE,5.542
0,LOCATION,area 2,Area 23,0.9231,2,23,0,TRUE,5.542
0,EQUIPMENT,ROV XLX94,ROV xlx93,0.8889,94,93,0,TRUE,5.528
1,ORGANIZATION,"TECHNIPFMC USA, INC.",TechnipFMC HSEA,0.8667,,,1,FALSE,5.527
0,EQUIPMENT,excavator,Excavator 07,0.8571,,07,0,FALSE,5.527
0,EQUIPMENT,excavator,EXCAVATOR-01,0.8571,,01,0,FALSE,5.527
0,BODY_PART,eye,eyes,1,,,1,FALSE,5.521
1,BODY_PART,finger,left ring finger,1,,,1,FALSE,5.521
1,EQUIPMENT,PPE,PPE’s,0.8571,,,1,FALSE,5.52
0,LOCATION,level 3,Level 2,0.8571,3,2,0,TRUE,5.515
0,LOCATION,level 0,level 1,0.8571,0,1,0,TRUE,5.515
0,LOCATION,Area 105,Area 1,0.8571,105,1,0,TRUE,5.515
1,BODY_PART,right middle finger,finger,1,,,1,FALSE,5.509
1,BODY_PART,finger,left middle finger,1,,,1,FALSE,5.505
0,LOCATION,warehouse,warehouse 2,0.9,,2,0,FALSE,5.5
0,LOCATION,warehouse,warehouse 3,0.9,,3,0,FALSE,5.489
0,BODY_PART,middle finger,index finger,1,,,1,FALSE,5.489
0,ORGANIZATION,level 3 clinic,level 2 clinic,0.9286,3,2,0,TRUE,5.487
0,LOCATION,Building 6,Building 1,0.9,6,1,0,TRUE,5.485
1,BODY_PART,middle finger,fingeren,0.8571,,,1,FALSE,5.484
1,BODY_PART,finger,right ring finger,1,,,1,FALSE,5.476
0,LOCATION,building 85,Building 15,0.9091,85,15,0,TRUE,5.474
0,LOCATION,Building 3,Building 113,0.9091,3,113,0,TRUE,5.474
0,LOCATION,Building 15,building 11,0.9091,15,11,0,TRUE,5.474
0,LOCATION,Bay 5,Bay 15,0.9091,5,15,0,TRUE,5.474
0,LOCATION,Bay 5,Bay 57,0.9091,5,57,0,TRUE,5.474
1,BODY_PART,Knee,right knee,1,,,1,FALSE,5.472
0,LOCATION,station 1,station 10,0.9474,1,10,0,TRUE,5.47
0,INJURY_TYPE,contusion,mild concusion,0.8889,,,1,FALSE,5.464
0,INJURY_TYPE,contusion,confusion,0.8889,,,1,FALSE,5.464
0,EQUIPMENT,crane 1,Crane 2,0.8571,1,2,0,TRUE,5.461
0,LOCATION,Area P11,Area 1,0.8571,11,1,0,TRUE,5.461
0,LOCATION,level 5,Level 2,0.8571,5,2,0,TRUE,5.461
0,LOCATION,Building 3,building 14,0.8571,3,14,0,TRUE,5.461
0,LOCATION,Building 15,Building 6,0.8571,15,6,0,TRUE,5.461
1,BODY_PART,finger,left finger,1,,,1,FALSE,5.46
1,BODY_PART,right finger,finger,1,,,1,FALSE,5.46
1,BODY_PART,Knee,left knee,1,,,1,FALSE,5.455
1,BODY_PART,ankle,right ankle,1,,,1,FALSE,5.455
0,EQUIPMENT,ROV XLX94,ROV XLX43,0.8889,94,43,0,TRUE,5.454
0,LOCATION,station 4,Station 3,0.8889,4,3,0,TRUE,5.454
0,LOCATION,station 4,station 0,0.8889,4,0,0,TRUE,5.454
0,LOCATION,station 6,station 4,0.8889,6,4,0,TRUE,5.454
1,LOCATION,bridge,bride,0.9091,,,1,FALSE,5.452
0,LOCATION,level 15,level 1,0.9333,15,1,0,TRUE,5.44
1,ORGANIZATION,"TECHNIPFMC USA, INC.",TechnipFMC UK,0.8571,,,1,FALSE,5.431
0,BODY_PART,finger,middle fingers,1,,,1,FALSE,5.429
1,BODY_PART,finger,right finger ring,1,,,1,FALSE,5.425
0,BODY_PART,finger,index fingers,1,,,1,FALSE,5.425
0,BODY_PART,finger,Ring fingers,1,,,1,FALSE,5.425
1,BODY_PART,finger,middle right finger,1,,,1,FALSE,5.421
0,BODY_PART,finger,left fingers,1,,,1,FALSE,5.421
1,BODY_PART,finger,Right index  finger,1,,,1,FALSE,5.421
0,EQUIPMENT,train 2,Train 3,0.8571,2,3,0,TRUE,5.404
0,LOCATION,Area 1,Area P16,0.8571,1,16,0,TRUE,5.404
0,LOCATION,Building 3,Building 16,0.8571,3,16,0,TRUE,5.404
0,LOCATION,Building 3,Building 71,0.8571,3,71,0,TRUE,5.404
0,LOCATION,area 2,Area E02,0.8571,2,02,0,TRUE,5.404
0,LOCATION,Level 6,level 1,0.8571,6,1,0,TRUE,5.404
1,LOCATION,workshop,work shop,0.9412,,,1,FALSE,5.4
0,LOCATION,Train 1 area,Train 2 area,0.9167,1,2,0,TRUE,5.398
0,EQUIPMENT,ROV XLX 94,ROV XLX 84,0.9,94,84,0,TRUE,5.398
0,LOCATION,Train 3 area,Train 2 area,0.9167,3,2,0,TRUE,5.398
0,LOCATION,Building 7,Building 6,0.9,7,6,0,TRUE,5.398
0,LOCATION,Train 3 area,Train 1 area,0.9167,3,1,0,TRUE,5.398
1,LOCATION,zObsolete - Albania,Albania,1,,,1,FALSE,5.398
0,LOCATION,Building 71,building 14,0.9091,71,14,0,TRUE,5.394
0,LOCATION,Building 15,Building 13,0.9091,15,13,0,TRUE,5.394
0,LOCATION,Building 15,building #1,0.9091,15,1,0,TRUE,5.394
0,LOCATION,building 14,Building 16,0.9091,14,16,0,TRUE,5.394
0,LOCATION,workshop,workshops,0.9412,,,1,FALSE,5.392
1,BODY_PART,ankle,left ankle,1,,,1,FALSE,5.389
0,LOCATION,station 4,Station 9,0.8889,4,9,0,TRUE,5.374
0,LOCATION,station 4,Station 2,0.8889,4,2,0,TRUE,5.374
0,BODY_PART,hand,hands,1,,,1,FALSE,5.366
0,LOCATION,Module ESS-303,module ESS -300,0.8966,303,300,0,TRUE,5.364
0,LOCATION,area,Area5,0.8889,,5,0,FALSE,5.355
1,ORGANIZATION,Synergi,synergies,0.875,,,1,FALSE,5.345
1,EQUIPMENT,machine,machinery,0.875,,,1,FALSE,5.345
0,LOCATION,level 4,Level 2,0.8571,4,2,0,TRUE,5.344
0,LOCATION,level 1,Level 9,0.8571,1,9,0,TRUE,5.344
0,LOCATION,level 5,level 3,0.8571,5,3,0,TRUE,5.344
1,BODY_PART,right knee,kneet,0.8889,,,1,FALSE,5.343
1,LOCATION,Camp 4,Camp 04,0.9231,4,04,0,TRUE,5.334
1,LOCATION,line 2,line 02,0.9231,2,02,0,TRUE,5.334
1,EQUIPMENT,fire extinguisher,fire extinguisher box,0.8947,,,1,FALSE,5.329
0,LOCATION,Mero 1 field,Mero 2 field,0.9167,1,2,0,TRUE,5.318
1,EQUIPMENT,winch,winches,0.9091,,,1,FALSE,5.316
0,EQUIPMENT,compressor,Compressor B,0.9091,,,1,FALSE,5.316
1,BODY_PART,back,right back,1,,,1,FALSE,5.313
0,LOCATION,Building 71,Building 16,0.9091,71,16,0,TRUE,5.307
1,BODY_PART,back,middle left back,1,,,1,FALSE,5.303
1,BODY_PART,back,left back,1,,,1,FALSE,5.303
0,LOCATION,Building 6,Building 2,0.9,6,2,0,TRUE,5.303
1,BODY_PART,left knee,kneet,0.8889,,,1,FALSE,5.296
1,BODY_PART,leg,left leg,1,,,1,FALSE,5.293
0,EQUIPMENT,compressor,compressor A,0.9091,,,1,FALSE,5.291
0,EQUIPMENT,ROV XLX94,ROV XLX44,0.8889,94,44,0,TRUE,5.287
0,EQUIPMENT,ROV XLX75,ROV XLX74,0.8889,75,74,0,TRUE,5.287
0,EQUIPMENT,ROV XLX94,ROV XLX49,0.8889,94,49,0,TRUE,5.287
0,LOCATION,station 4,station 5,0.8889,4,5,0,TRUE,5.287
0,LOCATION,station 6,station 0,0.8889,6,0,0,TRUE,5.287
0,LOCATION,area E-05,area E-02,0.8889,05,02,0,TRUE,5.287
0,LOCATION,station 6,Station 3,0.8889,6,3,0,TRUE,5.287
0,LOCATION,station 0,Station 3,0.8889,0,3,0,TRUE,5.287
0,LOCATION,Building 15,building 15/16,0.88,15,"15,16",0.5,TRUE,5.285
0,LOCATION,area 2,Area 260,0.8571,2,260,0,TRUE,5.279
0,LOCATION,area 2,area 203,0.8571,2,203,0,TRUE,5.279
0,LOCATION,level 0,Level 2,0.8571,0,2,0,TRUE,5.279
1,BODY_PART,left shoulder,shoulder,1,,,1,FALSE,5.268
1,BODY_PART,index finger,fingeren,0.8571,,,1,FALSE,5.262
0,LOCATION,Building 3,building 7723,0.8696,3,7723,0,TRUE,5.261
0,LOCATION,Building 3,building C318,0.8696,3,318,0,TRUE,5.261
1,ORGANIZATION,CHEVRON USA INC,CHEVRON U.S.A. INC.,0.88,,,1,FALSE,5.254
0,LOCATION,Building 3,building 30,0.9524,3,30,0,TRUE,5.249
1,EQUIPMENT,pump,pumpe,0.8889,,,1,FALSE,5.246
1,BODY_PART,leg,right leg,1,,,1,FALSE,5.242
0,EQUIPMENT,crane #11,crane 1,0.875,11,1,0,TRUE,5.235
0,LOCATION,Level 2,level 2.5,0.875,2,"2,5",0.5,TRUE,5.235
0,LOCATION,station 1,station 11,0.9474,1,11,0,TRUE,5.234
0,LOCATION,station 1,station 12,0.9474,1,12,0,TRUE,5.234
0,EQUIPMENT,overhead crane,overhead frame,0.8571,,,1,FALSE,5.234
0,LOCATION,station 1,station 18,0.9474,1,18,0,TRUE,5.234
0,LOCATION,station 1,station 17,0.9474,1,17,0,TRUE,5.234
0,LOCATION,station 1,station 21,0.9474,1,21,0,TRUE,5.234
1,BODY_PART,hand,right  hand,1,,,1,FALSE,5.22
0,BODY_PART,middle finger,ring finger,1,,,1,FALSE,5.22
1,ORGANIZATION,TECHNIP ENERGIES INDIA LIMITED MUMBAI,TECHNIP ENERGIES INDIA LIMITED,0.8955,,,1,FALSE,5.218
1,BODY_PART,shoulder,right shoulder,1,,,1,FALSE,5.215
1,BODY_PART,left  hand,hand,1,,,1,FALSE,5.215
1,INJURY_TYPE,laceration,laceranting injury,0.8571,,,1,FALSE,5.215
0,LOCATION,KP 19,KP 195,0.9091,19,195,0,TRUE,5.212
0,LOCATION,level 4,level 3,0.8571,4,3,0,TRUE,5.21
0,LOCATION,Building 3,Building 44,0.8571,3,44,0,TRUE,5.21
0,LOCATION,building 14,Building 6,0.8571,14,6,0,TRUE,5.21
0,LOCATION,Building 15,Building 7,0.8571,15,7,0,TRUE,5.21
0,LOCATION,Building 3,building 85,0.8571,3,85,0,TRUE,5.21
0,LOCATION,Building 3,building 11,0.8571,3,11,0,TRUE,5.21
0,BODY_PART,middle finger,Right Index Finger,1,,,1,FALSE,5.209
1,ORGANIZATION,Synergi,Synergy,0.8571,,,1,FALSE,5.206
0,LOCATION,level 2 clinic,level 3 clinic,0.9286,2,3,0,TRUE,5.199
0,EQUIPMENT,ROV UHD 18,ROV UHD 58,0.9,18,58,0,TRUE,5.197
1,ORGANIZATION,ANADARKO PETROLEUM COMPANY,ANADARKO PETROLEUM CORPORATION,0.8571,,,1,FALSE,5.196
0,LOCATION,station 4,station 8,0.8889,4,8,0,TRUE,5.192
0,LOCATION,station 0,Station 2,0.8889,0,2,0,TRUE,5.192
0,LOCATION,area E-04,area E-05,0.8889,04,05,0,TRUE,5.192
0,LOCATION,station 6,Station 9,0.8889,6,9,0,TRUE,5.192
0,LOCATION,Station 3,Station 2,0.8889,3,2,0,TRUE,5.192
0,LOCATION,Station 9,Station 3,0.8889,9,3,0,TRUE,5.192
0,LOCATION,Station 9,station 0,0.8889,9,0,0,TRUE,5.192
0,LOCATION,station 6,Station 2,0.8889,6,2,0,TRUE,5.192
1,LOCATION,work area,working area,0.8571,,,1,FALSE,5.186
0,LOCATION,Building 15,Building 1,0.9524,15,1,0,TRUE,5.184
1,EQUIPMENT,pallet,pallets,1,,,1,FALSE,5.182
0,LOCATION,Building 15,building 181,0.8696,15,181,0,TRUE,5.181
0,LOCATION,Building 15,building 127,0.8696,15,127,0,TRUE,5.181
0,LOCATION,Building 15,building S12,0.8696,15,12,0,TRUE,5.181
0,LOCATION,Building 15,Building 113,0.8696,15,113,0,TRUE,5.181
0,LOCATION,Building 15,building S11,0.8696,15,11,0,TRUE,5.181
0,LOCATION,Building 15,building 100,0.8696,15,100,0,TRUE,5.181
0,LOCATION,Building 15,building S01,0.8696,15,01,0,TRUE,5.181
0,LOCATION,Area 5,Area 51,0.9231,5,51,0,TRUE,5.167
0,EQUIPMENT,Scaffold,scaffolder,0.8889,,,1,FALSE,5.152
1,LOCATION,office,offices,0.9231,,,1,FALSE,5.138
0,LOCATION,Building 3,building 46,0.8571,3,46,0,TRUE,5.136
0,LOCATION,Building 15,Building 2,0.8571,15,2,0,TRUE,5.136
0,LOCATION,Building 3,building 94,0.8571,3,94,0,TRUE,5.136
0,LOCATION,level 5,level 4,0.8571,5,4,0,TRUE,5.136
0,LOCATION,Building 71,Building 6,0.8571,71,6,0,TRUE,5.136
0,LOCATION,level 3,level 0,0.8571,3,0,0,TRUE,5.136
0,LOCATION,Building 3,building #1,0.8571,3,1,0,TRUE,5.136
0,LOCATION,Level 6,Level 2,0.8571,6,2,0,TRUE,5.136
1,EQUIPMENT,fire extinguisher,fire extinguisher OP-5,0.8718,,5,0,FALSE,5.112
0,LOCATION,Module ESS-303,Module ESS-300,0.9286,303,300,0,TRUE,5.112
0,LOCATION,Module ESS-303,Module ESS-301,0.9286,303,301,0,TRUE,5.112
0,LOCATION,location,Location H,0.8889,,,1,FALSE,5.109
0,LOCATION,KP 19,KP 190,0.9091,19,190,0,TRUE,5.106
0,LOCATION,building 14,building 11,0.9091,14,11,0,TRUE,5.106
0,LOCATION,building 14,Building 44,0.9091,14,44,0,TRUE,5.106
0,LOCATION,bay 1,Bay 15,0.9091,1,15,0,TRUE,5.106
0,LOCATION,bay 1,bay 14,0.9091,1,14,0,TRUE,5.106
0,ORGANIZATION,SOGAZ 2nd Level clinic,SOGAZ 3rd level clinic,0.9091,2,3,0,TRUE,5.106
1,LOCATION,zObsolete - Clairmont,Claremont,0.8889,,,1,FALSE,5.094
0,LOCATION,station 6,station 5,0.8889,6,5,0,TRUE,5.086
0,LOCATION,Station 9,Station 2,0.8889,9,2,0,TRUE,5.086
0,LOCATION,station 4,Station 7,0.8889,4,7,0,TRUE,5.086
0,LOCATION,Station 3,station 5,0.8889,3,5,0,TRUE,5.086
0,LOCATION,platform 1700,plateform 1000,0.8889,1700,1000,0,TRUE,5.086
0,LOCATION,area E-05,area E-01,0.8889,05,01,0,TRUE,5.086
0,LOCATION,station 0,station 5,0.8889,0,5,0,TRUE,5.086
0,EQUIPMENT,ROV XLX43,ROV XLX74,0.8889,43,74,0,TRUE,5.086
0,LOCATION,Building 7,Building 1,0.9,7,1,0,TRUE,5.079
0,EQUIPMENT,Thruster 5,thruster 1,0.9,5,1,0,TRUE,5.079
0,EQUIPMENT,Thruster 5,Thruster 6,0.9,5,6,0,TRUE,5.079
0,EQUIPMENT,Thruster 5,Thruster 7,0.9,5,7,0,TRUE,5.079
0,EQUIPMENT,crane 1,crane 14,0.9333,1,14,0,TRUE,5.065
0,LOCATION,warehouse,Warehouse #2,0.8571,,2,0,FALSE,5.06
0,LOCATION,warehouse,Warehouse #5,0.8571,,5,0,FALSE,5.06
0,LOCATION,Level 9,Level 2,0.8571,9,2,0,TRUE,5.056
0,LOCATION,Building 6,building 30,0.8571,6,30,0,TRUE,5.056
0,LOCATION,level 5,level 0,0.8571,5,0,0,TRUE,5.056
0,LOCATION,STR 500,STR 700,0.8571,500,700,0,TRUE,5.056
0,LOCATION,STR 500,STR 600,0.8571,500,600,0,TRUE,5.056
0,LOCATION,area E-05,area E5,0.875,05,5,0,TRUE,5.053
0,LOCATION,Test Cell,Test cell 2,0.9,,2,0,FALSE,5.043
0,LOCATION,Test Cell,test cell#5,0.9,,5,0,FALSE,5.043
0,LOCATION,Test Cell,test cell 1,0.9,,1,0,FALSE,5.043
0,LOCATION,Test Cell,Test Cell 6,0.9,,6,0,FALSE,5.043
0,LOCATION,Test Cell,test cell 4,0.9,,4,0,FALSE,5.043
